,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
116,2914,7.5,-9.89,160.348,19,1977-04-20T23:42:50.500022Z,2,46,7,59,0,1.014088638,1.785369752,0.8,-999,523.0022967,3,3,12,2,18,4,6.7,0,6.7,0,7.5,0,85.16654349,210.6562507,248.307437,-1,2
117,2924,8,-20.187,-174.123,55,2006-05-03T15:26:40.290002Z,0,39,3,88,2,1.338931604,1.316310417,-999,-999,-999,1,1,2,0,3,1,6.1,0,0,0,6,0,48.55057143,403.4768598,537.7249613,-1,3
118,2927,9.1,3.295,95.982,30,2004-12-26T00:58:53.449996Z,1,314,5,827,1.9,1.046573042,10.57381939,3.7,-999,inf,1,1,1,0,3,0,6.1,0,5.4,0,8.6,0,660.4464317,1973.26289,1471.584602,1,3
119,2928,7,16.773,122.327,37,1977-03-18T21:43:52.400035Z,0,21,0,28,1.2,-999,3.564696351,-999,-999,-999,2,1,21,0,28,0,0,0,0,0,6.9,0,0,86.7339395,114.6619326,-1,2
120,2933,7.2,-21.89,169.853,33,1980-10-25T11:00:05.099986Z,7,32,10,83,0.7,1.167850708,1.316958677,0.5,-999,6.092260268,4,1,17,4,48,7,6.7,0,6.7,0,7,0,37.06385538,302.1546252,156.1879214,-1,2
121,2934,7.4,33.386,57.434,33,1978-09-16T15:35:56.599990Z,0,1,0,15,2.4,-999,inf,-999,-999,-999,5,-1,0,0,5,0,0,0,0,0,7.1,0,0,232.2459184,212.7529709,-1,3
122,2935,8.2,15.0222,-93.8993,47.39,2017-09-08T04:49:19.179983Z,1,40,3,68,1.1,1.17376887,1.906548485,3.2,-999,inf,1,1,1,0,2,1,6.8,0,5,0,7.2,0,371.4071285,626.668461,549.3506571,-1,2
123,2939,7.3,55.0999,164.6993,16.56,2018-12-20T17:01:55.150002Z,0,13,0,24,1.2,-999,0.916471183,-999,-999,-999,1,1,10,0,14,0,0,0,0,0,6.4,0,0,126.9071131,182.289452,-1,1
124,2940,8.3,46.592,153.266,10,2006-11-15T11:14:13.570027Z,8,93,28,166,1.6,1.182705324,3.209720545,2.4,-999,1.123787539,2,1,3,0,4,2,6.6,0,5.9,0,8.1,0,201.8132968,613.2035113,641.1560465,1,3
125,2941,7.3,-30.6441,-178.0995,46,2019-06-15T22:55:04.129993Z,0,34,13,46,0.9,0.965098849,1.297012083,-999,-999,-999,1,1,14,0,16,4,6.4,0,0,0,6.4,0,180.8554184,9653.795438,182.289452,1,3
126,2944,7,-17.26,167.601,30,1981-07-15T07:59:08.469977Z,0,13,0,16,1.4,-999,0.509680504,-999,-999,-999,1,1,13,0,16,0,0,0,0,0,5.6,0,0,88.7194379,114.6619326,1,3
127,2945,7.7,1.598,-79.358,24,1979-12-12T07:59:03.299969Z,0,20,0,25,1.9,-999,0.778825572,-999,-999,-999,1,1,2,0,3,0,0,0,0,0,5.8,0,0,262.9575209,338.2345089,-1,2
128,2946,7.6,44.244,148.862,33,1978-03-24T19:47:50.699986Z,39,51,47,76,1.8,1.634613917,2.01308864,0.1,0.734814959,20.03931025,2,2,5,13,7,16,7.5,0,7.5,0,5.8,0,86.87887977,256.1117423,289.8036301,1,3
129,2948,7.5,-21.9496,169.4266,10,2018-12-05T04:18:08.419963Z,3,49,113,65,0.9,1.472694091,2.686912543,1.2,-999,1.106023866,5,1,7,1,14,26,7.1,0,6.3,0,6.6,0,187.4941957,242.4683855,248.307437,-1,2
130,2949,7.6,60.949,167.089,22,2006-04-20T23:25:02.150023Z,0,24,0,34,1,-999,0.86222469,-999,-999,-999,1,1,5,0,6,0,0,0,0,0,6.6,0,0,112.1871478,289.8036301,-1,3
131,2950,7.6,-4.051,152.5967,10,2019-05-14T12:58:25.939030Z,1,8,41,17,1.7,-999,0.465790447,2.6,-999,inf,1,1,2,0,3,15,7,0,5,0,5.9,0,348.4364612,223.6233648,289.8036301,1,1
132,2958,7.8,52.788,-132.101,14,2012-10-28T03:04:08.819994Z,0,26,0,35,1.5,-999,1.620540092,-999,-999,-999,2,1,2,0,6,0,0,0,0,0,7.5,0,0,348.6463483,394.7589718,1,3
133,2961,7.3,15.766,119.74,33,1999-12-11T18:03:36.449973Z,0,5,0,10,1.1,-999,0.19344599,-999,-999,-999,1,1,1,0,4,0,0,0,0,0,6.2,0,0,179.1399796,182.289452,-1,2
134,2976,7,25.93,128.425,25,2010-02-26T20:31:26.970014Z,0,3,0,6,1.8,-999,4.95534644,-999,-999,-999,1,1,3,0,6,0,0,0,0,0,5.2,0,0,61.19839536,114.6619326,-1,1
135,2977,7.7,23.772,120.982,33,1999-09-20T17:47:18.490009Z,0,25,1,44,1.2,-999,0.895445013,-999,-999,-999,1,1,8,0,13,1,5.9,0,0,0,6.5,0,173.4066703,166.816217,338.2345089,1,3
