,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
28,28,292,-999.0,-999.0,293,33.0,1.0,0.2,1.0,0.2,-11.132,162.136,7.1,2,5,2,5,1978-11-05T22:02:06.000001,-999.0,-999.0,2,2,5,2,5,2,6.9,83413.0,6.9,83413.0,6.1,-65103.000003,18.272083645390452,17.74627158692553,133.82379803431266,1.0,3.0,0.0016030770725131301,5.096443107532878,0.430950635204369,0.9810763888661233,4.64090277776605
29,29,299,-999.0,-999.0,300,18.0,2.0,-999.0,2.0,-999.0,16.01,-96.591,7.7,6,0,7,0,1978-11-29T19:52:46.000003,-999.0,-999.0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.7,3421.0,0.0,44.79921874804254,338.2345089289617,1.0,3.0,0.0014655812380903732,,0.05675889799898318,0.0,123.32868055552106
30,30,303,-999.0,-999.0,304,33.0,2.0,-999.0,2.0,-999.0,23.247,122.075,7.0,2,0,2,0,1978-12-23T11:23:09.999999,-999.0,-999.0,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.0,13241.000002,0.0,30.11579256696367,114.66193259390072,1.0,1.0,0.0004373818383096283,,13.050373836836544,0.0,0.15325231483827034
31,31,317,-999.0,-999.0,318,15.0,1.7,-999.0,1.7,-999.0,60.642,-141.593,7.1,2,0,2,0,1979-02-28T21:27:05.000001,-999.0,-999.0,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.4,130058.999996,0.0,57.616477320127466,133.82379803431266,-1.0,2.0,0.002674794988883104,,1.328627776665251,0.0,1.5053124999537788
32,32,320,-999.0,-999.0,321,49.0,2.1,-999.0,2.1,-999.0,17.813,-101.276,7.6,3,0,3,0,1979-03-14T11:07:15.000003,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.5,3247.999995,0.0,42.358346986237656,289.8036300972396,1.0,3.0,0.0013483928491585123,,0.6851433329476331,0.0,4.378645833264346
33,33,352,-999.0,-999.0,353,5.0,2.0,-999.0,2.0,-999.0,-1.679,136.04,7.9,9,0,9,0,1979-09-12T05:17:49.999997,-999.0,-999.0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.9,90911.000002,0.0,90.60243651016273,460.72958753073897,1.0,2.0,0.003436386718338914,,0.5364290218034666,0.0,16.777615740740742
34,34,355,-999.0,-999.0,356,33.0,1.9,-999.0,1.9,-999.0,-46.675,165.707,7.4,2,0,2,0,1979-10-12T10:25:21.000001,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.5,11395.999997,0.0,20.193751355619643,212.75297086326285,1.0,3.0,0.00033919330465079613,,15.163215167180581,0.0,0.13189814811365472
35,35,362,-999.0,-999.0,363,22.0,1.3,1.2,1.3,1.2,-10.615,161.284,7.1,9,2,9,2,1979-10-23T09:51:05.000001,-999.0,-999.0,1,1,1,8,1,8,5.9,-14643.999998,5.9,-14643.999998,5.8,1233.000002,11.907945104409084,63.39517226421691,133.82379803431266,1.0,3.0,0.013447584062729733,31.27601807694097,40.95649426111347,0.06394675930548045,0.2197453703586426
36,36,364,-999.0,-999.0,365,10.0,1.1,0.5,1.1,0.5,33.962,59.726,7.1,1,4,1,4,1979-11-27T17:10:30.999998,-999.0,-999.0,1,1,1,1,1,1,6.6,1176549.999998,6.6,1176549.999998,6.0,-1080217.999995,10.722127824803811,11.52337395768497,133.82379803431266,-1.0,1.0,0.0,0.29374017253884477,0.10334816969673771,13.617476851829085,9.676030092592592
37,37,368,-999.0,-999.0,369,24.0,1.9,-999.0,1.9,-999.0,1.598,-79.358,7.7,14,0,14,0,1979-12-12T07:59:01.999997,-999.0,-999.0,1,1,0,2,0,2,0.0,0.0,0.0,0.0,5.8,77924.000003,0.0,262.95752087098293,338.2345089289617,-1.0,2.0,0.007861249897071314,,1.837635988245151,0.0,7.61848379633079
