,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
10,7.6,1978-03-23T03:15:22.999997,1978-03-23T03:15:24.479999Z,1978-03-23T03:15:24.479999Z,44.93,148.44,33.0,39,911,88,6,2,5,2,6,2,5,2,5,3,2,2,2,2,2
11,7.6,1978-06-12T08:14:28.000000,1978-06-12T08:14:29.760001Z,1978-06-12T08:14:29.760001Z,38.19,142.03,44.0,44,1592,93,4,0,4,0,10,0,5,0,5,0,1,1,1,1,1
12,7.8,1978-11-29T19:52:43.999998,1978-11-29T19:52:45.120004Z,1978-11-29T19:52:45.120004Z,16.01,-96.59,18.0,50,1481,60,2,0,2,0,3,0,2,0,2,0,-1,-1,-1,-1,1
13,7.4,1978-09-16T15:36:00.000002,1978-09-16T15:36:00.000002Z,1978-09-16T15:36:00.000002Z,33.39,57.43,33.0,54,477,167,1,0,0,0,5,0,0,0,0,0,-1,-1,-1,-1,2
14,7.5,1979-02-28T21:27:03.000003,1979-02-28T21:27:04.319997Z,1979-02-28T21:27:04.319997Z,60.64,-141.59,15.0,57,1815,149,1,0,1,0,2,0,1,0,1,0,-1,-1,-1,-1,-1
15,7.5,1979-09-12T05:17:47.000000,1979-09-12T05:17:48.479995Z,1979-09-12T05:17:48.479995Z,-1.68,136.04,5.0,67,777,122,4,0,4,0,5,0,1,0,1,0,-1,1,1,-1,1
16,8.1,1979-12-12T07:59:04.000002,1979-12-12T07:59:05.280002Z,1979-12-12T07:59:05.280002Z,1.6,-79.36,24.0,74,925,22,2,0,2,0,8,0,4,0,4,0,1,-1,-1,1,1
17,7.6,1981-05-25T05:25:16.000003,1981-05-25T05:25:17.759997Z,1981-05-25T05:25:17.759997Z,-48.79,164.36,33.0,117,796,105,3,0,3,0,3,1,3,0,3,0,1,1,1,1,1
18,7.5,1981-09-01T09:29:29.999997,1981-09-01T09:29:31.199999Z,1981-09-01T09:29:31.199999Z,-14.99,-173.17,15.0,121,1520,150,3,0,3,0,21,9,4,0,4,1,1,1,1,1,1
19,7.5,1982-12-19T17:43:50.999999,1982-12-19T17:43:52.320004Z,1982-12-19T17:43:52.320004Z,-24.19,-175.77,33.0,159,1685,144,7,0,7,0,18,5,12,5,12,6,1,1,1,1,1
20,7.4,1983-04-03T02:50:01.999997,1983-04-03T02:50:03.839997Z,1983-04-03T02:50:03.839997Z,8.73,-83.12,33.0,175,1278,156,4,0,4,0,10,1,4,0,4,0,1,1,1,1,1
21,7.7,1983-05-26T02:59:59.999997,1983-05-26T03:00:00.000000Z,1983-05-26T03:00:00.000000Z,40.37,139.15,33.0,180,1131,73,4,0,4,0,5,0,5,0,5,0,1,1,1,1,1
22,7.6,1983-10-04T18:52:14.999997,1983-10-04T18:52:16.320003Z,1983-10-04T18:52:16.320003Z,-26.62,-70.77,18.0,191,1628,98,3,0,2,0,5,2,2,0,2,0,-1,-1,1,-1,1
23,7.7,1983-11-30T17:46:00.000001,1983-11-30T17:46:01.919995Z,1983-11-30T17:46:01.919995Z,-6.89,72.12,10.0,200,2647,75,8,0,7,0,11,0,9,0,9,0,1,1,1,1,1
24,7.5,1984-02-07T21:33:23.000002,1984-02-07T21:33:24.480005Z,1984-02-07T21:33:24.480005Z,-9.92,160.46,14.0,209,1318,134,1,0,1,0,3,0,1,0,1,0,-1,-1,-1,-1,1
25,7.9,1985-03-03T22:47:07.000003,1985-03-03T22:47:08.160004Z,1985-03-03T22:47:08.160004Z,-33.15,-71.98,33.0,248,1425,43,18,0,14,0,30,1,14,1,14,1,1,1,1,1,1
26,7.2,1985-07-03T04:36:53.000000,1985-07-03T04:36:54.720000Z,1985-07-03T04:36:54.720000Z,-4.46,152.82,41.0,262,1132,235,1,0,1,0,8,0,3,0,3,0,1,-1,-1,1,1
27,8.0,1985-09-19T13:17:44.000001,1985-09-19T13:17:45.600000Z,1985-09-19T13:17:45.600000Z,18.18,-102.57,33.0,276,1228,31,5,0,4,0,6,0,3,0,3,0,1,1,1,1,1
28,7.9,1986-05-07T22:47:07.000000,1986-05-07T22:47:08.160004Z,1986-05-07T22:47:08.160004Z,51.41,-174.83,33.0,294,2806,39,20,1,14,1,19,2,3,2,14,1,1,1,1,1,1
29,7.5,1986-08-14T19:39:11.000002,1986-08-14T19:39:12.959996Z,1986-08-14T19:39:12.959996Z,1.82,126.64,43.0,312,1294,145,8,0,7,0,25,4,8,0,8,0,1,1,1,1,1
30,7.7,1986-10-20T06:46:11.999998,1986-10-20T06:46:13.439996Z,1986-10-20T06:46:13.439996Z,-28.1,-176.43,33.0,317,2853,70,16,0,15,0,47,1,23,0,23,0,1,1,1,1,1
31,7.3,1986-11-14T21:20:00.000002,1986-11-14T21:20:00.960002Z,1986-11-14T21:20:00.960002Z,23.96,121.82,33.0,322,1727,190,2,0,2,0,4,2,1,0,1,0,-1,-1,-1,-1,1
32,7.5,1987-03-05T09:16:58.000003,1987-03-05T09:16:59.519998Z,1987-03-05T09:16:59.519998Z,-24.49,-70.17,27.0,337,1752,141,5,0,5,0,14,0,5,0,5,0,1,1,1,1,5
33,7.4,1987-09-03T06:40:08.999998,1987-09-03T06:40:10.559999Z,1987-09-03T06:40:10.559999Z,-58.9,158.3,33.0,362,1659,172,2,0,2,0,3,0,2,0,2,1,1,-1,-1,-1,1
34,7.3,1987-10-16T20:48:01.000000,1987-10-16T20:48:02.880001Z,1987-10-16T20:48:02.880001Z,-6.25,149.09,24.0,370,2839,181,1,0,1,0,13,19,1,1,1,1,-1,-1,-1,-1,2
35,7.8,1987-11-30T19:23:11.999997,1987-11-30T19:23:13.919996Z,1987-11-30T19:23:13.919996Z,58.68,-142.79,10.0,379,2843,57,4,0,4,0,9,4,4,4,4,5,1,1,1,1,2
36,7.2,1988-02-24T03:51:57.999997,1988-02-24T03:51:59.040002Z,1988-02-24T03:51:59.040002Z,13.42,124.6,21.0,390,2783,224,1,0,1,0,4,0,1,0,1,0,-1,-1,-1,-1,1
37,7.5,1988-08-10T04:38:28.000003,1988-08-10T04:38:29.759999Z,1988-08-10T04:38:29.759999Z,-10.21,160.77,38.0,415,1738,139,2,0,2,0,11,0,3,0,3,0,1,-1,-1,1,1
38,8.0,1989-05-23T10:54:45.000001,1989-05-23T10:54:46.080000Z,1989-05-23T10:54:46.080000Z,-52.24,160.2,10.0,464,1751,27,6,0,6,0,11,0,9,0,9,1,1,1,1,1,1
39,7.4,1989-11-01T18:25:35.999997,1989-11-01T18:25:37.920003Z,1989-11-01T18:25:37.920003Z,39.8,142.84,38.0,483,1821,159,9,0,8,0,14,7,8,7,8,7,1,1,1,1,1
40,7.5,1989-12-15T18:43:45.000002,1989-12-15T18:43:46.560004Z,1989-12-15T18:43:46.560004Z,8.39,126.78,33.0,489,1391,121,9,0,9,0,14,1,9,0,9,1,1,1,1,1,1
41,7.3,1990-03-25T13:22:54.999999,1990-03-25T13:22:56.639995Z,1990-03-25T13:22:56.639995Z,9.89,-84.89,19.0,506,415,197,1,0,1,0,5,0,1,0,1,0,-1,-1,-1,-1,1
42,7.6,1990-03-03T12:16:22.999997,1990-03-03T12:16:24.959996Z,1990-03-03T12:16:24.959996Z,-22.04,175.16,33.0,507,2136,90,1,0,1,0,4,0,1,0,1,0,-1,-1,-1,-1,1
43,7.4,1990-04-05T21:12:39.000001,1990-04-05T21:12:40.319996Z,1990-04-05T21:12:40.319996Z,15.23,147.53,32.0,509,2766,153,2,0,2,0,8,0,2,0,2,0,-1,-1,-1,-1,1
44,7.6,1990-04-18T13:39:19.999998,1990-04-18T13:39:21.600002Z,1990-04-18T13:39:21.600002Z,1.16,122.84,28.0,511,2759,89,12,0,7,0,38,0,9,0,9,1,1,1,2,1,2
45,7.4,1990-06-20T21:00:07.000000,1990-06-20T21:00:08.639995Z,1990-06-20T21:00:08.639995Z,36.96,49.41,10.0,519,932,155,3,0,3,0,3,0,3,0,3,0,1,1,1,1,1
46,7.7,1990-07-16T07:26:30.999999,1990-07-16T07:26:32.640000Z,1990-07-16T07:26:32.640000Z,15.66,121.23,25.0,523,2764,79,9,0,9,0,17,0,12,0,12,1,1,1,1,1,1
47,7.6,1991-04-22T21:56:50.999999,1991-04-22T21:56:52.799996Z,1991-04-22T21:56:52.799996Z,9.68,-83.08,10.0,551,2130,100,5,0,5,0,9,0,4,0,4,0,1,1,1,1,1
48,7.2,1991-10-14T15:58:09.000002,1991-10-14T15:58:10.560005Z,1991-10-14T15:58:10.560005Z,-9.05,158.49,33.0,567,916,259,1,0,1,0,4,0,2,0,2,1,1,-1,-1,-1,1
49,7.2,1991-11-19T22:28:49.000002,1991-11-19T22:28:50.879997Z,1991-11-19T22:28:50.879997Z,4.56,-77.49,21.0,572,1337,256,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1
50,7.6,1991-12-22T08:43:08.000003,1991-12-22T08:43:09.119997Z,1991-12-22T08:43:09.119997Z,45.47,151.05,26.0,574,2131,101,2,2,2,2,15,12,4,12,4,13,1,1,1,1,1
51,7.2,1992-04-25T18:06:01.000003,1992-04-25T18:06:02.879997Z,1992-04-25T18:06:02.879997Z,40.37,-124.32,15.0,592,1413,252,3,0,3,0,3,2,2,0,2,0,-1,1,1,-1,1
52,7.2,1992-05-17T10:15:26.000002,1992-05-17T10:15:27.360004Z,1992-05-17T10:15:27.360004Z,7.17,126.86,33.0,595,2749,221,2,1,0,1,12,1,1,1,1,1,-1,-1,2,-1,3
53,7.2,1992-05-15T07:05:04.000002,1992-05-15T07:05:05.280004Z,1992-05-15T07:05:05.280004Z,-6.06,147.59,50.0,596,2148,217,1,0,1,0,7,2,3,0,3,1,1,-1,-1,1,1
54,7.3,1992-06-28T11:57:32.000001,1992-06-28T11:57:33.119998Z,1992-06-28T11:57:33.119998Z,34.18,-116.51,5.0,610,2157,206,5,0,5,0,7,1,5,0,5,0,1,1,1,1,1
55,7.6,1992-09-02T00:15:57.999998,1992-09-02T00:15:59.040000Z,1992-09-02T00:15:59.040000Z,11.76,-87.42,10.0,619,1441,96,9,0,9,0,12,2,11,2,11,2,1,1,1,1,1
56,7.7,1992-12-12T05:29:27.000001,1992-12-12T05:29:28.320003Z,1992-12-12T05:29:28.320003Z,-8.51,121.89,35.0,639,1071,84,2,0,2,0,8,1,3,0,3,0,1,-1,-1,1,1
57,7.7,1993-07-12T13:17:10.000000,1993-07-12T13:17:11.039999Z,1993-07-12T13:17:11.039999Z,42.84,139.25,17.0,669,2146,87,2,0,2,0,6,0,3,0,3,0,1,-1,-1,1,1
58,7.7,1993-08-08T08:34:21.000000,1993-08-08T08:34:22.079997Z,1993-08-08T08:34:22.079997Z,12.96,144.78,61.0,671,2115,80,4,0,4,0,10,0,6,0,6,0,1,1,1,1,1
59,7.2,1993-09-10T19:12:49.999999,1993-09-10T19:12:51.839996Z,1993-09-10T19:12:51.839996Z,14.73,-92.68,34.0,674,1306,246,6,5,6,5,9,5,6,5,6,5,1,1,1,1,1
60,7.3,2008-04-09T12:46:12.000003,2008-04-09T12:46:13.439996Z,2008-04-09T12:46:13.439996Z,-20.07,168.89,33.0,686,3024,180,17,6,17,0,36,4,21,4,21,5,1,1,1,1,1
61,7.8,1994-06-02T18:17:32.999999,1994-06-02T18:17:34.080000Z,1994-06-02T18:17:34.080000Z,-10.47,112.98,39.0,699,2113,49,19,0,19,0,22,0,19,0,19,0,1,1,1,1,1
62,7.2,1994-07-13T02:35:56.000002,1994-07-13T02:35:57.119997Z,1994-07-13T02:35:57.119997Z,-16.62,167.51,33.0,704,2118,226,6,1,6,1,21,4,12,1,12,1,1,1,1,1,1
63,8.3,1994-10-04T13:22:55.000000,1994-10-04T13:22:56.639995Z,1994-10-04T13:22:56.639995Z,43.71,147.33,33.0,718,2776,11,32,0,27,0,150,2,23,0,23,0,1,1,1,1,5
64,7.3,1995-04-07T22:06:55.999998,1995-04-07T22:06:57.600005Z,1995-04-07T22:06:57.600005Z,-15.19,-173.59,31.0,746,2121,209,3,0,3,0,13,15,4,0,4,0,1,1,1,1,1
65,7.7,1995-05-16T20:12:45.000001,1995-05-16T20:12:46.079996Z,1995-05-16T20:12:46.079996Z,-23.01,169.89,33.0,756,2756,82,4,0,4,0,24,1,9,0,9,0,1,1,1,1,1
66,8.0,1995-07-30T05:11:18.000002,1995-07-30T05:11:19.680002Z,1995-07-30T05:11:19.680002Z,-23.36,-70.31,47.0,770,2127,30,16,0,12,0,19,1,12,0,12,0,1,1,1,1,1
67,7.7,1995-08-16T10:27:23.000001,1995-08-16T10:27:24.480003Z,1995-08-16T10:27:24.480003Z,-5.81,154.21,16.0,773,2198,83,8,0,8,0,64,19,15,2,15,2,1,1,1,1,1
68,8.0,1995-10-09T15:36:00.000002,1995-10-09T15:36:00.000002Z,1995-10-09T15:36:00.000002Z,19.15,-104.22,49.0,779,996,25,4,0,2,0,11,1,2,1,2,1,1,-1,1,1,1
69,7.2,1995-11-22T04:15:08.999998,1995-11-22T04:15:10.080003Z,1995-11-22T04:15:10.080003Z,28.82,34.86,10.0,787,997,214,3,0,2,0,3,0,2,0,2,0,-1,-1,1,-1,1
70,7.9,1996-01-01T08:05:07.000000,1996-01-01T08:05:08.160000Z,1996-01-01T08:05:08.160000Z,0.72,119.98,33.0,794,2195,38,6,0,6,0,19,0,4,0,4,0,1,1,1,1,1
71,8.2,1996-02-17T05:59:24.000002,1996-02-17T05:59:25.439998Z,1996-02-17T05:59:25.439998Z,-0.95,137.03,33.0,800,2751,14,16,0,14,0,27,0,15,0,15,1,1,1,1,1,1
72,7.5,1996-02-21T12:51:06.000002,1996-02-21T12:51:07.200000Z,1996-02-21T12:51:07.200000Z,-9.62,-79.57,33.0,819,1077,123,1,0,0,0,2,0,0,0,0,0,-1,-1,-1,-1,-1
73,7.9,1996-06-10T04:03:37.000003,1996-06-10T04:03:38.880000Z,1996-06-10T04:03:38.880000Z,51.56,-177.63,33.0,823,2795,46,15,2,13,2,75,4,22,2,11,2,1,1,1,1,1
74,7.7,1996-11-12T16:59:37.999998,1996-11-12T16:59:39.840004Z,1996-11-12T16:59:39.840004Z,-14.99,-75.68,33.0,869,1668,74,8,0,8,0,9,0,8,0,8,0,1,1,1,1,1
75,7.5,1997-11-08T10:02:54.000000,1997-11-08T10:02:55.680003Z,1997-11-08T10:02:55.680003Z,35.07,87.32,33.0,923,1033,124,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1
76,7.8,1997-12-05T11:26:51.000001,1997-12-05T11:26:52.799996Z,1997-12-05T11:26:52.799996Z,54.84,162.04,33.0,928,2209,65,19,3,19,3,36,0,22,0,22,3,1,1,1,1,1
77,8.1,1998-03-25T03:12:21.999997,1998-03-25T03:12:23.039995Z,1998-03-25T03:12:23.039995Z,-62.88,149.53,10.0,943,1710,20,5,0,5,0,7,0,5,0,5,0,1,1,1,1,1
78,7.4,1998-05-03T23:30:18.999998,1998-05-03T23:30:20.159996Z,1998-05-03T23:30:20.159996Z,22.31,125.31,33.0,947,2203,175,3,0,3,0,4,0,3,0,3,0,1,1,1,1,1
79,7.7,1998-11-29T14:10:26.000000,1998-11-29T14:10:27.840000Z,1998-11-29T14:10:27.840000Z,-2.07,124.89,33.0,983,2784,86,1,0,1,0,23,5,8,1,2,0,-1,-1,-1,1,1
80,7.6,1999-08-17T00:01:33.999999,1999-08-17T00:01:35.039999Z,1999-08-17T00:01:35.039999Z,40.75,29.86,17.0,1022,2181,106,4,0,4,0,8,0,3,0,3,1,1,1,1,1,2
81,7.6,1999-09-20T17:47:17.999997,1999-09-20T17:47:19.680004Z,1999-09-20T17:47:19.680004Z,23.77,120.98,33.0,1026,2183,115,11,0,10,0,26,0,11,0,11,1,1,1,1,1,1
82,7.5,2000-05-04T04:21:10.999998,2000-05-04T04:21:12.960000Z,2000-05-04T04:21:12.960000Z,-1.11,123.57,26.0,1077,2066,138,3,0,3,0,8,0,4,0,4,0,1,1,1,1,1
83,7.9,2000-06-04T16:28:22.999997,2000-06-04T16:28:24.960001Z,2000-06-04T16:28:24.960001Z,-4.72,102.09,33.0,1083,2715,32,17,0,17,0,57,2,17,0,17,0,1,1,1,1,1
84,7.9,2000-06-18T14:44:07.999997,2000-06-18T14:44:09.599995Z,2000-06-18T14:44:09.599995Z,-13.8,97.45,10.0,1088,2711,36,2,0,2,0,2,0,2,0,2,0,-1,-1,-1,-1,-1
85,8.0,2000-11-16T04:54:53.000003,2000-11-16T04:54:54.719996Z,2000-11-16T04:54:54.719996Z,-3.98,152.17,33.0,1118,2735,24,9,0,9,0,113,6,48,2,49,2,3,1,1,3,3
86,7.4,2001-01-01T06:57:00.000001,2001-01-01T06:57:01.440002Z,2001-01-01T06:57:01.440002Z,6.9,126.58,33.0,1124,2068,174,3,0,3,0,8,0,6,0,6,1,1,1,1,1,1
87,7.7,2001-01-13T17:33:28.999996,2001-01-13T17:33:30.240005Z,2001-01-13T17:33:30.240005Z,13.05,-88.66,60.0,1126,2070,77,14,0,10,0,22,0,10,0,10,0,1,1,1,1,1
88,7.6,2001-01-26T03:16:41.000003,2001-01-26T03:16:42.239997Z,2001-01-26T03:16:42.239997Z,23.42,70.23,16.0,1131,937,113,3,0,3,0,3,0,3,0,3,0,1,1,1,1,1
89,8.4,2001-06-23T20:33:10.999998,2001-06-23T20:33:12.960004Z,2001-06-23T20:33:12.960004Z,-16.26,-73.64,33.0,1157,2158,7,19,0,14,0,37,23,14,0,13,0,1,1,1,1,1
90,7.4,2001-10-19T03:28:47.000001,2001-10-19T03:28:48.000002Z,2001-10-19T03:28:48.000002Z,-4.1,123.91,33.0,1179,1220,166,3,0,3,0,4,3,3,0,3,0,1,1,1,1,1
91,7.8,2001-11-14T09:26:11.000003,2001-11-14T09:26:12.480004Z,2001-11-14T09:26:12.480004Z,35.95,90.54,10.0,1184,2072,58,1,0,1,0,6,0,5,0,5,0,1,-1,-1,1,1
92,7.2,2002-01-02T17:22:49.000000,2002-01-02T17:22:50.880005Z,2002-01-02T17:22:50.880005Z,-17.6,167.86,21.0,1192,2030,249,8,0,8,0,17,7,14,1,14,1,1,1,1,1,1
93,7.5,2002-03-05T21:16:05.999997,2002-03-05T21:16:07.679996Z,2002-03-05T21:16:07.679996Z,6.03,124.25,31.0,1207,2737,128,4,0,4,0,10,0,4,0,4,0,1,1,1,1,1
94,7.6,2002-09-08T18:44:19.999997,2002-09-08T18:44:21.119996Z,2002-09-08T18:44:21.119996Z,-3.3,142.95,13.0,1241,2726,111,7,0,7,0,20,4,7,1,7,1,1,1,1,1,1
95,7.5,2002-10-10T10:50:17.000001,2002-10-10T10:50:18.240003Z,2002-10-10T10:50:18.240003Z,-1.76,134.3,10.0,1249,2841,137,3,0,2,0,14,5,3,4,3,7,1,-1,1,1,1
96,7.2,2002-11-02T01:26:05.000003,2002-11-02T01:26:06.720004Z,2002-11-02T01:26:06.720004Z,2.82,96.08,30.0,1255,2103,231,3,0,3,0,6,0,3,0,3,0,1,1,1,1,1
97,7.9,2002-11-03T22:12:41.999996,2002-11-03T22:12:43.200001Z,2002-11-03T22:12:43.200001Z,63.52,-147.44,4.0,1258,2729,34,1,0,1,0,5,2,4,1,4,1,1,-1,-1,1,1
98,7.5,2003-01-22T02:06:33.000002,2003-01-22T02:06:34.560004Z,2003-01-22T02:06:34.560004Z,18.77,-104.1,24.0,1269,1154,142,2,0,2,0,5,0,3,0,3,0,1,-1,-1,1,1
99,7.6,2003-08-04T04:37:18.999999,2003-08-04T04:37:20.639996Z,2003-08-04T04:37:20.639996Z,-60.53,-43.41,10.0,1311,1662,97,3,0,3,0,3,0,3,0,3,0,1,1,1,1,1
100,7.2,2003-08-21T12:12:46.999999,2003-08-21T12:12:48.960001Z,2003-08-21T12:12:48.960001Z,-45.1,167.14,28.0,1314,1648,240,2,0,2,0,5,0,2,0,2,0,-1,-1,-1,-1,1
101,8.3,2003-09-25T19:50:07.999999,2003-09-25T19:50:09.599997Z,2003-09-25T19:50:09.599997Z,41.81,143.91,27.0,1322,2866,10,35,0,27,0,74,3,29,0,29,2,1,1,1,1,1
102,7.3,2003-09-27T11:33:19.999998,2003-09-27T11:33:21.599999Z,2003-09-27T11:33:21.599999Z,50.04,87.81,16.0,1323,2838,193,8,0,8,0,8,0,6,0,6,0,1,1,1,1,1
103,7.8,2003-11-17T06:43:02.000003,2003-11-17T06:43:03.359997Z,2003-11-17T06:43:03.359997Z,51.15,178.65,33.0,1335,2871,62,6,0,6,0,34,14,9,1,7,1,1,1,1,1,1
104,7.3,2003-12-27T16:01:02.000001,2003-12-27T16:01:03.360003Z,2003-12-27T16:01:03.360003Z,-22.01,169.77,10.0,1342,2867,178,10,0,10,0,49,7,25,7,25,7,5,1,1,5,5
105,7.4,1999-09-30T16:31:15.999997,1999-09-30T16:31:17.759999Z,1999-09-30T16:31:17.759999Z,16.06,-96.93,60.0,1350,2058,151,2,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1
106,7.3,2004-02-07T02:42:32.999998,2004-02-07T02:42:34.559996Z,2004-02-07T02:42:34.559996Z,-4.0,135.02,10.0,1356,2849,204,10,3,8,3,25,3,8,3,8,3,0,0,0,0,5
107,7.5,2003-07-15T20:27:51.999997,2003-07-15T20:27:53.280004Z,2003-07-15T20:27:53.280004Z,-2.6,68.38,10.0,1377,2845,133,1,0,0,0,5,0,3,0,3,0,1,-1,-1,1,1
108,7.4,2004-09-05T14:57:13.999999,2004-09-05T14:57:15.839997Z,2004-09-05T14:57:15.839997Z,33.18,137.07,10.0,1423,2850,177,7,1,7,1,8,1,7,1,7,1,2,2,2,2,2
109,7.5,2004-11-11T21:26:36.999999,2004-11-11T21:26:38.400001Z,2004-11-11T21:26:38.400001Z,-8.15,124.87,10.0,1443,2236,127,9,0,9,0,15,1,8,1,8,1,1,1,1,1,1
110,8.1,2004-12-23T14:59:07.000001,2004-12-23T14:59:08.159997Z,2004-12-23T14:59:08.159997Z,-49.31,161.35,10.0,1458,1421,16,1,0,1,0,9,0,2,0,2,0,-1,-1,-1,-1,1
111,9.0,2004-12-26T00:58:52.000003,2004-12-26T00:58:53.760002Z,2004-12-26T00:58:53.760002Z,3.3,95.78,10.0,1461,2821,2,98,0,87,0,561,3,159,1,155,2,1,1,1,1,2
112,7.2,2005-06-15T02:50:54.000003,2005-06-15T02:50:55.679999Z,2005-06-15T02:50:55.679999Z,41.3,-125.97,10.0,1529,2642,227,1,0,1,0,4,0,1,0,1,0,-1,-1,-1,-1,1
113,7.6,2005-10-08T03:50:40.000002,2005-10-08T03:50:41.280004Z,2005-10-08T03:50:41.280004Z,34.54,73.59,26.0,1563,2625,95,21,0,19,0,22,0,18,0,18,0,1,1,1,1,1
114,7.6,2006-04-20T23:24:59.999998,2006-04-20T23:25:00.479996Z,2006-04-20T23:25:00.479996Z,60.95,167.09,22.0,1620,2634,110,8,0,8,0,16,0,11,0,11,0,1,1,1,1,1
115,8.0,2006-05-03T15:26:36.999999,2006-05-03T15:26:38.400001Z,2006-05-03T15:26:38.400001Z,-20.19,-174.12,55.0,1630,2685,26,11,0,11,0,65,3,24,0,25,5,1,1,1,1,1
116,7.7,2006-07-17T08:19:31.000003,2006-07-17T08:19:32.160000Z,2006-07-17T08:19:32.160000Z,-9.25,107.41,34.0,1654,2595,68,16,0,16,0,24,0,17,0,17,0,1,1,1,1,1
117,8.3,2006-11-15T11:14:19.999998,2006-11-15T11:14:21.119996Z,2006-11-15T11:14:21.119996Z,46.57,153.29,38.0,1706,2692,9,40,0,31,0,75,15,31,1,31,5,1,1,1,1,2
118,7.5,2007-01-21T11:27:42.999997,2007-01-21T11:27:44.639999Z,2007-01-21T11:27:44.639999Z,1.07,126.28,22.0,1721,2696,116,23,0,20,0,59,4,20,0,20,1,1,1,1,1,1
119,8.1,2007-04-01T20:39:58.000002,2007-04-01T20:39:59.039998Z,2007-04-01T20:39:59.039998Z,-8.46,157.04,10.0,1757,2688,17,9,0,9,0,68,7,41,0,41,1,1,1,1,1,1
120,8.0,2007-08-15T23:40:58.000001,2007-08-15T23:40:59.519996Z,2007-08-15T23:40:59.519996Z,-13.39,-76.6,39.0,1810,2666,29,14,0,13,0,19,2,12,0,12,1,1,1,1,1,1
121,7.2,2007-09-02T01:05:11.999997,2007-09-02T01:05:13.920000Z,2007-09-02T01:05:13.920000Z,-11.61,165.76,35.0,1826,2704,266,7,0,7,0,22,4,12,3,12,3,1,1,1,1,1
122,8.5,2007-09-12T11:10:25.999998,2007-09-12T11:10:27.840000Z,2007-09-12T11:10:27.840000Z,-4.44,101.37,34.0,1830,2693,6,45,0,34,0,106,1,36,0,36,2,1,1,1,1,1
123,7.4,2007-09-30T05:23:33.000003,2007-09-30T05:23:34.080002Z,2007-09-30T05:23:34.080002Z,-49.27,164.12,10.0,1838,2694,171,7,0,7,0,9,0,7,0,7,0,1,1,1,1,1
124,7.7,2007-11-14T15:40:52.000000,2007-11-14T15:40:53.759996Z,2007-11-14T15:40:53.759996Z,-22.25,-69.89,40.0,1854,1914,69,15,0,15,0,24,0,18,0,18,0,1,1,1,1,1
