,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
74,7.7,-6.89,72.12,10.0,1983-11-30T17:46:01.919995Z,0,9,0,9,1,1,2.0,3,0,3,0
75,7.7,-0.41,132.88,17.0,2009-01-03T19:43:49.439999Z,0,22,0,25,2,2,0.0,4,0,4,0
76,7.7,13.05,-88.66,60.0,2001-01-13T17:33:30.240005Z,0,10,0,12,1,1,2.0,3,0,4,0
77,7.7,57.27,-142.79,10.0,1988-03-06T22:35:36.960001Z,0,2,0,3,1,-1,1.0,0,0,1,0
78,7.7,15.66,121.23,25.0,1990-07-16T07:26:32.640000Z,1,12,1,12,1,1,1.0,4,0,4,0
79,7.7,12.96,144.78,61.0,1993-08-08T08:34:22.079997Z,0,6,0,6,1,1,0.0,2,0,2,0
80,7.7,-20.57,-70.5,10.0,2014-04-03T02:43:09.119997Z,0,0,0,0,-1,-1,0.0,0,0,0,0
81,7.7,-23.01,169.89,33.0,1995-05-16T20:12:46.079996Z,0,9,0,15,1,1,2.0,3,0,5,0
82,7.7,-5.81,154.21,16.0,1995-08-16T10:27:24.480003Z,2,15,2,16,1,1,3.0,7,1,8,1
83,7.7,-8.51,121.89,35.0,1992-12-12T05:29:28.320003Z,0,3,0,4,1,1,3.0,0,0,1,0
84,7.7,-12.52,165.92,33.0,1980-07-17T19:42:23.039995Z,5,2,5,4,2,2,3.0,2,4,2,4
85,7.7,-2.07,124.89,33.0,1998-11-29T14:10:27.840000Z,0,2,0,3,1,-1,0.0,1,0,1,0
86,7.7,42.84,139.25,17.0,1993-07-12T13:17:11.039999Z,0,3,0,3,1,1,3.0,1,0,1,0
87,7.6,44.93,148.44,33.0,1978-03-23T03:15:24.479999Z,3,5,3,5,2,2,0.0,4,3,4,3
88,7.6,1.16,122.84,28.0,1990-04-18T13:39:21.600002Z,1,9,1,12,1,1,3.0,5,0,6,0
89,7.6,-22.04,175.16,33.0,1990-03-03T12:16:24.959996Z,0,1,0,2,-1,-1,1.0,0,0,0,0
