,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
30,30,-999,-999,304,33,2.0,-999.0,2.0,-999.0,23.247,122.075,7.0,2,0,2,0,1978-12-23T11:23:09.999999,-999,-999,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.0,13241.000002,0.0,30.11579256696367,114.66193259390072,1.0,1.0
31,31,-999,-999,318,15,1.7,-999.0,1.7,-999.0,60.642,-141.593,7.1,2,0,2,0,1979-02-28T21:27:05.000001,-999,-999,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.4,130058.999996,0.0,57.616477320127466,133.82379803431266,-1.0,2.0
32,32,-999,-999,321,49,2.1,-999.0,2.1,-999.0,17.813,-101.276,7.6,3,0,3,0,1979-03-14T11:07:15.000003,-999,-999,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.5,3247.999995,0.0,42.358346986237656,289.8036300972396,1.0,3.0
33,33,-999,-999,353,5,2.0,-999.0,2.0,-999.0,-1.679,136.04,7.9,9,0,9,0,1979-09-12T05:17:49.999997,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.9,90911.000002,0.0,90.60243651016273,460.72958753073897,1.0,2.0
34,34,-999,-999,356,33,1.9,-999.0,1.9,-999.0,-46.675,165.707,7.4,2,0,2,0,1979-10-12T10:25:21.000001,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.5,11395.999997,0.0,20.193751355619643,212.75297086326285,1.0,3.0
35,35,-999,-999,363,22,1.3,1.2,1.3,1.2,-10.615,161.284,7.1,9,2,9,2,1979-10-23T09:51:05.000001,-999,-999,1,1,1,8,1,8,5.9,-14643.999998,5.9,-14643.999998,5.8,1233.000002,11.907945104409084,63.39517226421691,133.82379803431266,1.0,3.0
36,36,-999,-999,365,10,1.1,0.5,1.1,0.5,33.962,59.726,7.1,1,4,1,4,1979-11-27T17:10:30.999998,-999,-999,1,1,1,1,1,1,6.6,1176549.999998,6.6,1176549.999998,6.0,-1080217.999995,10.722127824803811,11.52337395768497,133.82379803431266,-1.0,1.0
37,37,-999,-999,369,24,1.9,-999.0,1.9,-999.0,1.598,-79.358,7.7,14,0,14,0,1979-12-12T07:59:01.999997,-999,-999,1,1,0,2,0,2,0.0,0.0,0.0,0.0,5.8,77924.000003,0.0,262.95752087098293,338.2345089289617,-1.0,2.0
38,38,-999,-999,388,44,1.1,-999.0,1.1,-999.0,43.53,146.753,7.0,10,0,10,0,1980-02-23T05:51:02.000000,-999,-999,1,1,0,10,0,10,0.0,0.0,0.0,0.0,5.9,370403.0,0.0,83.19592927833385,114.66193259390072,-1.0,3.0
39,39,-999,-999,425,33,0.8,-999.0,0.8,-999.0,-12.41,166.381,7.5,14,0,14,0,1980-07-08T23:19:17.999999,-999,-999,1,1,0,5,0,5,0.0,0.0,0.0,0.0,6.7,77853.999999,0.0,103.79007445124873,248.30743700128235,1.0,3.0
40,40,-999,-999,429,33,2.2,-999.0,2.2,-999.0,-12.525,165.916,7.9,6,0,6,0,1980-07-17T19:42:22.000003,-999,-999,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.7,4025.0,0.0,96.20998981403305,460.72958753073897,1.0,3.0
41,41,-999,-999,444,10,1.1,-999.0,1.1,-999.0,36.195,1.354,7.3,10,0,11,0,1980-10-10T12:25:21.999997,-999,-999,1,1,0,7,0,7,0.0,0.0,0.0,0.0,6.2,11626.000002,0.0,33.04684134644927,182.28945197042378,-1.0,2.0
42,42,-999,-999,446,33,1.4,0.5,1.4,0.5,-21.89,169.853,7.2,16,6,16,6,1980-10-25T11:00:04.000002,-999,-999,1,1,4,8,4,8,6.7,-8902.0,6.7,-8902.0,5.8,-0.0,34.021780782187896,60.55442604706377,156.1879214416901,-1.0,2.0
43,43,-999,-999,448,19,2.2,-999.0,2.2,-999.0,41.117,-124.253,7.2,3,0,3,0,1980-11-08T10:27:31.999999,-999,-999,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,63695.000003,0.0,114.5220119215366,156.1879214416901,1.0,1.0
44,44,-999,-999,466,33,1.4,-999.0,1.4,-999.0,51.744,176.274,7.0,5,0,5,0,1981-01-30T08:52:43.000000,-999,-999,1,1,0,5,0,5,0.0,0.0,0.0,0.0,5.6,188667.000002,0.0,57.098856973988056,114.66193259390072,1.0,3.0
45,45,-999,-999,486,33,1.9,-999.0,1.9,-999.0,-48.786,164.357,7.6,4,0,4,0,1981-05-25T05:25:12.999999,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.7,447722.999999,0.0,65.00580609793586,289.8036300972396,1.0,1.0
46,46,-999,-999,491,30,1.4,-999.0,1.4,-999.0,-17.26,167.601,7.0,6,0,6,0,1981-07-15T07:59:07.000001,-999,-999,1,1,0,6,0,6,0.0,0.0,0.0,0.0,5.6,1000.0,0.0,43.23162889961179,114.66193259390072,1.0,3.0
47,47,-999,-999,496,33,2.0,-999.0,2.0,-999.0,30.013,57.794,7.1,1,0,1,0,1981-07-28T17:22:23.000003,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.1,2522.999998,0.0,9.957278268268427,133.82379803431266,-1.0,3.0
48,48,-999,-999,500,25,2.1,-999.0,2.1,-999.0,-14.96,-173.085,7.7,5,0,5,0,1981-09-01T09:29:29.999997,-999,-999,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,51974.000003,0.0,58.335391206836285,338.2345089289617,1.0,2.0
49,49,-999,-999,510,33,2.1,-999.0,2.1,-999.0,-33.134,-73.074,7.2,1,0,1,0,1981-10-16T03:25:40.999998,-999,-999,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,15.035543304360733,156.1879214416901,1.0,3.0
