,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
51,51,2233,7.1,8.717,-83.123,37.0,1983-04-03T02:50:01.180003Z,0,5,0,8,1.5,-999.0,42.63247625223951,-999.0,-999.0,-999.0,1,1,5,0,8,0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,58.828842126269244,133.82379803431266,1.0,3.0
52,52,2250,7.1,-5.577,130.791,67.3,1987-06-17T01:32:53.719989Z,0,0,1,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.82379803431266,-1.0,3.0
53,53,2309,7.4,33.184,137.071,10.0,2004-09-05T14:57:18.609988Z,3,8,3,8,0.8000000000000007,-999.0,1.7920405400091706,0.2000000000000001,-999.0,21.749947726299197,2,2,7,1,7,1,7.2,0.0,7.2,0.0,6.6,-0.0,63.17497830046043,55.24980973965273,212.75297086326285,-1.0,3.0
54,54,2320,7.0,-6.081,133.667,27.7,1988-07-25T06:46:06.690002Z,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-1,-1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,2.0
55,55,2324,8.1,-15.489,-172.095,18.0,2009-09-29T17:48:10.990025Z,0,4,4,6,2.1,-999.0,0.1980656028364016,-999.0,-999.0,-999.0,1,1,0,0,0,2,6.6,0.0,0.0,0.0,6.0,-0.0,59.00868761032127,42.69404563578314,470.69063154972355,-1.0,2.0
56,56,2366,7.3,13.477,124.616,24.9,1988-02-24T03:52:03.290020Z,0,2,0,5,1.7000000000000002,-999.0,5.612886245479003,-999.0,-999.0,-999.0,1,-1,2,0,3,0,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,34.08296351537854,182.28945197042378,1.0,3.0
57,57,2385,7.7,13.049,-88.66,60.0,2001-01-13T17:33:32.379955Z,0,10,0,17,1.9000000000000004,-999.0,0.4257623033911206,-999.0,-999.0,-999.0,1,1,5,0,8,0,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,42.149697525260784,338.2345089289617,-1.0,2.0
58,58,2507,7.0,32.7906,130.7543,10.0,2016-04-15T16:25:06.220040Z,4,10,4,10,1.2999999999999998,-999.0,2.7175417313693773,0.7999999999999998,-999.0,36.05084674483483,1,1,10,4,10,4,6.2,0.0,6.2,0.0,5.7,-0.0,10.851546170210844,44.53088646437547,114.66193259390072,-1.0,1.0
59,59,2540,7.3,18.048,-102.084,33.0,1981-10-25T03:22:15.569994Z,0,1,1,1,2.2,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,0,0,0,1,5.4,0.0,0.0,0.0,5.1,-0.0,27.743966994337296,27.97363565560002,182.28945197042378,1.0,3.0
60,60,2544,7.0,37.812,142.619,10.0,2003-10-31T01:06:28.279987Z,0,1,0,2,1.9000000000000004,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,1,0,2,0,0.0,0.0,0.0,0.0,5.2,-0.0,0.0,26.444490221098157,114.66193259390072,1.0,3.0
