,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
37,37,37,38,7.9,0.72,119.98,33.0,1996-01-01T08:05:08.160000Z,0,4,0,6,2.3000000000000007,-999.0,0.4049771694103713,-999.0,-999,-999.0,1,1,0.0,0,0,1,0,0.0,0.0,0.0,0.0,6.0,3146031.360002,0.0,53.411357424954545,460.72958753073897,1.0,3.0
38,38,38,39,7.9,51.41,-174.83,33.0,1986-05-07T22:47:08.160004Z,1,14,1,19,1.4000000000000004,-999.0,0.4892060186316365,1.7000000000000002,-999,inf,1,1,3.0,4,1,5,1,6.2,7413.12,6.2,7413.12,6.5,633087.359995,9.551748225763275,343.72642086202256,460.72958753073897,1.0,3.0
39,39,39,40,7.9,56.0,-149.17,14.1,2018-01-23T09:31:40.800000Z,0,8,0,10,2.4000000000000004,-999.0,0.6233393849209204,-999.0,-999,-999.0,1,1,1.0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,49783.680001,0.0,259.86967453304396,460.72958753073897,-1.0,1.0
40,40,40,41,7.9,44.62,149.32,22.1,1995-12-03T18:01:09.120003Z,7,10,7,17,1.6000000000000003,-999.0,0.6488071680217726,1.3000000000000007,-999,0.7951563618267876,1,1,0.0,4,4,5,4,6.6,89268.480005,6.6,89268.480005,6.3,-19215.360007,380.1663330861403,354.00790173758077,460.72958753073897,1.0,3.0
41,41,41,42,7.9,31.0,103.32,19.0,2008-05-12T06:28:04.800005Z,0,14,0,14,1.8000000000000007,-999.0,0.9400010742899634,-999.0,-999,-999.0,1,1,0.0,2,0,2,0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,283.12388685837277,460.72958753073897,-1.0,3.0
42,42,42,43,7.9,-33.15,-71.98,33.0,1985-03-03T22:47:08.160004Z,1,14,1,18,0.5,-999.0,0.6605050976824363,2.2,-999,inf,1,1,3.0,7,0,9,0,5.7,878040.000008,5.7,878040.000008,7.4,-878040.000008,28.186506042750665,135.240234129269,460.72958753073897,1.0,3.0
43,43,43,44,7.9,-10.8,165.11,24.0,2013-02-06T01:12:25.920000Z,25,81,25,87,0.8000000000000007,0.7722909557445302,3.293057746415497,1.5,-999,2.93948194572204,1,1,3.0,16,7,16,7,6.4,356149.440003,6.4,356149.440003,7.1,-738728.639999,152.73400734478346,263.30091888055046,460.72958753073897,1.0,3.0
44,44,44,45,7.9,-28.43,-177.66,33.0,1976-01-14T16:47:34.080000Z,2,4,2,5,1.5,-999.0,0.3376724239812088,0.1000000000000005,-999,0.1470372004121874,2,2,0.0,3,2,4,2,7.8,3058.560005,7.8,3058.560005,6.4,-1178271.360001,89.60775154281949,231.6654420081156,460.72958753073897,1.0,3.0
45,45,45,46,7.9,51.56,-177.63,33.0,1996-06-10T04:03:38.880000Z,2,11,2,16,0.7000000000000002,-999.0,0.5671886521012305,1.4000000000000004,-999,4.491354143060026,1,1,3.0,2,1,2,1,6.5,103464.000001,6.5,103464.000001,7.2,-103464.000001,38.49364472907506,450.07152464360206,460.72958753073897,1.0,3.0
46,46,46,47,7.8,2.38,97.05,31.0,2010-04-06T22:15:01.439998Z,1,0,1,2,-999.0,-999.0,-999.0,2.0,-999,inf,1,-1,0.0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.75897176315374,1.0,3.0
47,47,47,48,7.8,-42.74,173.05,15.2,2016-11-13T11:02:58.559998Z,0,14,0,16,1.3999999999999997,-999.0,0.6888340008452023,-999.0,-999,-999.0,1,1,0.0,1,0,1,0,0.0,0.0,0.0,0.0,6.4,40590.719997,0.0,169.85620176037187,394.75897176315374,-1.0,3.0
