,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,fstyle_m,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
37,37,37,37,-999,-999,159,33,1.2,-999.0,1.2,-999.0,-24.19,-175.77,7.5,7,0,7,0,1982-12-19T17:43:50.999999,-999,-999,1,1,3,0,5,0,5,0.0,0.0,0.0,0.0,6.3,-0.0,0.0,73.25708326194031,248.30743700128235,1.0,3.0
38,38,38,38,-999,-999,175,33,1.5,-999.0,1.5,-999.0,8.73,-83.12,7.4,4,0,4,0,1983-04-03T02:50:01.999997,-999,-999,1,1,3,0,4,0,4,0.0,0.0,0.0,0.0,5.9,123665.000005,0.0,113.87954113891243,212.75297086326285,1.0,3.0
39,39,39,39,-999,-999,180,33,1.8,-999.0,1.8,-999.0,40.37,139.15,7.7,4,0,4,0,1983-05-26T02:59:59.999997,-999,-999,1,1,3,0,2,0,2,0.0,0.0,0.0,0.0,5.9,327705.000004,0.0,38.62242135959149,338.2345089289617,-1.0,3.0
40,40,40,40,-999,-999,191,18,1.1,-999.0,1.1,-999.0,-26.62,-70.77,7.6,2,0,3,0,1983-10-04T18:52:14.999997,-999,-999,1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,6.5,158976.0,0.0,43.872566568528526,289.8036300972396,1.0,3.0
41,41,41,41,-999,-999,193,33,0.5,-999.0,0.5,-999.0,-60.62,-25.44,7.0,3,0,3,0,1983-10-22T04:21:36.999999,-999,-999,1,1,2,0,3,0,3,0.0,0.0,0.0,0.0,6.5,5504.000003,0.0,39.659631086970144,114.66193259390072,-1.0,2.0
42,42,42,42,-999,-999,200,10,1.4,-999.0,1.4,-999.0,-6.89,72.12,7.7,7,0,8,0,1983-11-30T17:46:00.000001,-999,-999,1,1,2,0,3,0,3,0.0,0.0,0.0,0.0,6.3,183133.999999,0.0,118.88618724435044,338.2345089289617,-1.0,2.0
43,43,43,43,-999,-999,201,69,1.4,-999.0,1.4,-999.0,14.05,-91.94,7.0,1,0,1,0,1983-12-02T03:09:03.000002,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,10.240563591400537,114.66193259390072,1.0,3.0
44,44,44,44,-999,-999,209,14,1.1,-999.0,1.1,-999.0,-9.92,160.46,7.5,1,0,1,0,1984-02-07T21:33:23.000002,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,6.4,-0.0,0.0,29.493935579565903,248.30743700128235,-1.0,3.0
45,45,45,45,-999,-999,211,26,1.9,-999.0,1.9,-999.0,40.29,63.33,7.0,1,0,2,0,1984-03-19T20:28:35.000000,-999,-999,-1,-1,3,0,2,0,1,0.0,0.0,0.0,0.0,5.1,0.0,0.0,7.954495504454332,114.66193259390072,-1.0,3.0
46,46,46,46,-999,-999,248,33,0.5,-999.0,0.5,-999.0,-33.15,-71.98,7.9,14,0,18,0,1985-03-03T22:47:07.000003,-999,-999,1,1,3,0,7,0,7,0.0,0.0,0.0,0.0,7.4,0.0,0.0,123.60489021389118,460.72958753073897,1.0,3.0
47,47,47,47,-999,-999,262,41,1.6,-999.0,1.6,-999.0,-4.46,152.82,7.2,1,0,1,0,1985-07-03T04:36:53.000000,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.6,0.0,0.0,33.86036924533941,156.1879214416901,1.0,3.0
48,48,48,48,-999,-999,276,33,0.5,-999.0,0.5,-999.0,18.18,-102.57,8.0,4,0,5,0,1985-09-19T13:17:44.000001,-999,-999,1,1,3,0,1,0,1,0.0,0.0,0.0,0.0,7.5,0.0,0.0,187.99076896818505,537.7249613305888,1.0,3.0
49,49,49,49,-999,-999,282,13,1.1,-999.0,1.1,-999.0,-1.59,135.01,7.1,2,0,2,0,1985-11-17T09:40:18.000002,-999,-999,-1,-1,1,0,2,0,2,0.0,0.0,0.0,0.0,6.0,-0.0,0.0,69.50653479252179,133.82379803431266,1.0,1.0
50,50,50,50,-999,-999,283,33,1.1,0.1,1.1,0.1,-13.96,166.17,7.0,4,1,4,1,1985-11-28T03:49:57.000003,-999,-999,2,2,1,1,4,1,4,6.9,5055.000003,6.9,5055.000003,5.9,-5055.000003,9.381511578871509,22.828561308152594,114.66193259390072,-1.0,1.0
51,51,51,51,-999,-999,285,33,0.6,0.6,0.6,0.6,-14.04,166.51,7.1,3,1,3,1,1985-12-21T01:13:16.000003,-999,-999,1,1,3,1,3,1,3,6.5,407350.000001,6.5,407350.000001,6.5,-407350.000001,20.287047974228436,27.967045714117166,133.82379803431266,1.0,3.0
52,52,52,52,-999,-999,294,33,1.4,1.7,1.4,1.7,51.41,-174.83,7.9,14,1,20,1,1986-05-07T22:47:07.000000,-999,-999,1,1,3,1,5,1,4,6.2,7413.000001,6.2,7413.000001,6.5,633087.000004,9.551748225763275,102.55256005696332,460.72958753073897,1.0,3.0
53,53,53,53,-999,-999,312,43,1.1,-999.0,1.1,-999.0,1.82,126.64,7.5,7,0,8,0,1986-08-14T19:39:11.000002,-999,-999,1,1,0,0,8,0,7,0.0,0.0,0.0,0.0,6.4,43294.999997,0.0,72.35399975415696,248.30743700128235,1.0,3.0
54,54,54,54,-999,-999,317,33,1.7,-999.0,1.7,-999.0,-28.1,-176.43,7.7,15,0,16,0,1986-10-20T06:46:11.999998,-999,-999,1,1,0,0,6,0,6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,137.50144364071906,338.2345089289617,-1.0,1.0
55,55,55,55,-999,-999,322,33,1.5,-999.0,1.5,-999.0,23.96,121.82,7.3,2,0,2,0,1986-11-14T21:20:00.000002,-999,-999,-1,-1,3,0,2,0,2,0.0,0.0,0.0,0.0,5.8,-0.0,0.0,21.799273429590368,182.28945197042378,1.0,3.0
56,56,56,56,-999,-999,331,33,1.6,-999.0,1.6,-999.0,-60.15,-26.83,7.0,2,0,2,0,1987-01-30T22:29:41.000003,-999,-999,-1,-1,0,0,2,0,2,0.0,0.0,0.0,0.0,5.4,0.0,0.0,24.913095084203626,114.66193259390072,1.0,3.0
57,57,57,57,-999,-999,333,34,1.3,1.1,1.3,1.1,-5.94,147.79,7.3,6,1,6,1,1987-02-08T18:33:57.999999,-999,-999,1,1,1,1,6,1,6,6.2,110185.999998,6.2,110185.999998,6.0,44038.000004,13.393360821558398,24.004076280814616,182.28945197042378,-1.0,1.0
58,58,58,58,-999,-999,337,27,0.6,-999.0,0.6,-999.0,-24.49,-70.17,7.5,5,0,5,0,1987-03-05T09:16:58.000003,-999,-999,1,1,3,0,5,0,5,0.0,0.0,0.0,0.0,6.9,0.0,0.0,46.50815241719293,248.30743700128235,1.0,3.0
59,59,59,59,-999,-999,338,12,1.1,0.7,1.1,0.7,0.15,-77.83,7.1,1,1,1,1,1987-03-06T04:10:41.000000,-999,-999,-1,-1,3,1,1,1,1,6.4,8148.000002,6.4,8148.000002,6.0,-8148.000002,17.935218888711557,14.459848607463131,133.82379803431266,-1.0,3.0
60,60,60,60,-999,-999,362,33,0.6,-999.0,0.6,-999.0,-58.9,158.3,7.4,2,0,2,0,1987-09-03T06:40:08.999998,-999,-999,-1,-1,1,0,1,0,1,0.0,0.0,0.0,0.0,6.8,-0.0,0.0,75.46392714717021,212.75297086326285,1.0,1.0
