,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
50,7.7,1988-11-06T13:03:18.000002,1988-11-06T13:03:19.340034Z,1988-11-06T13:03:19.340034Z,22.789,99.611,17.0,1314,3868,85,10,0,10,0,19,0,12,0,12,0,1,1,1,1,1
51,8.0,1989-05-23T10:54:45.000001,1989-05-23T10:54:46.320021Z,1989-05-23T10:54:46.320021Z,-52.341,160.568,10.0,1376,3926,24,14,0,14,0,28,0,22,0,22,1,1,1,1,1,1
52,7.4,1989-11-01T18:25:33.000000,1989-11-01T18:25:34.939975Z,1989-11-01T18:25:34.939975Z,39.837,142.76,28.0,1430,3882,180,13,0,11,0,26,12,16,12,16,12,1,1,1,1,1
53,7.6,1989-12-15T18:43:44.000003,1989-12-15T18:43:45.030028Z,1989-12-15T18:43:45.030028Z,8.337,126.729,24.0,1442,3415,97,39,0,38,0,125,6,50,3,50,5,1,1,1,1,5
54,7.6,1990-03-03T12:16:26.000001,1990-03-03T12:16:27.959980Z,1990-03-03T12:16:27.959980Z,-22.122,175.163,33.0,1469,3139,116,3,0,3,0,16,0,10,0,10,0,1,1,1,1,1
55,7.6,1990-04-05T21:12:33.999999,1990-04-05T21:12:35.550026Z,1990-04-05T21:12:35.550026Z,15.125,147.596,11.0,1481,3198,100,43,0,39,0,62,4,43,0,43,3,1,1,1,1,1
56,7.8,1990-04-18T13:39:18.000000,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:19.009983Z,1.186,122.857,25.0,1485,3205,57,45,0,33,0,103,0,36,0,36,1,1,1,2,1,2
57,7.2,1990-05-20T02:21:59.999999,1990-05-20T02:22:01.619992Z,1990-05-20T02:22:01.619992Z,5.121,32.145,14.0,1492,3195,278,7,0,7,0,14,0,7,0,7,0,2,2,2,2,2
58,7.4,1990-06-20T21:00:07.999999,1990-06-20T21:00:09.979980Z,1990-06-20T21:00:09.979980Z,36.957,49.409,18.0,1503,3187,183,6,0,6,0,7,0,6,0,6,0,1,1,1,1,1
59,7.7,1990-07-16T07:26:32.999997,1990-07-16T07:26:34.610006Z,1990-07-16T07:26:34.610006Z,15.679,121.172,25.0,1511,3177,79,45,0,45,0,79,0,52,0,52,1,1,1,1,1,1
60,7.6,1991-04-22T21:56:50.000000,1991-04-22T21:56:51.819967Z,1991-04-22T21:56:51.819967Z,9.685,-83.073,10.0,1586,3161,99,9,0,9,0,19,8,12,0,12,0,1,1,1,1,2
61,7.2,1991-10-14T15:58:11.000000,1991-10-14T15:58:12.789987Z,1991-10-14T15:58:12.789987Z,-9.094,158.442,23.0,1621,3007,230,5,0,5,0,13,5,6,1,6,1,1,1,1,1,2
62,7.2,1991-11-19T22:28:50.000001,1991-11-19T22:28:51.090034Z,1991-11-19T22:28:51.090034Z,4.554,-77.442,21.0,1627,2309,241,1,0,1,0,2,0,2,0,2,0,-1,-1,-1,-1,-1
63,7.6,1991-12-22T08:43:11.999999,1991-12-22T08:43:13.410016Z,1991-12-22T08:43:13.410016Z,45.533,151.021,24.0,1633,3070,117,13,6,12,6,41,39,17,37,17,40,1,1,1,1,1
64,7.2,1991-12-27T04:05:56.999999,1991-12-27T04:05:58.240007Z,1991-12-27T04:05:58.240007Z,-56.032,-25.266,10.0,1637,3003,243,6,0,6,0,26,0,9,0,9,0,1,1,1,1,1
65,7.2,1992-04-25T18:06:04.000001,1992-04-25T18:06:05.179965Z,1992-04-25T18:06:05.179965Z,40.335,-124.229,9.0,1668,935,224,2,0,2,0,2,2,2,0,2,0,-1,-1,-1,-1,1
66,7.3,1992-06-28T11:57:33.000000,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:34.130021Z,34.2,-116.437,0.0,1693,3068,220,16,0,16,0,21,3,17,0,17,0,1,1,1,1,1
67,7.7,1992-09-02T00:15:59.999996,1992-09-02T00:16:01.689976Z,1992-09-02T00:16:01.689976Z,11.742,-87.34,44.0,1705,3082,76,16,2,16,2,25,3,23,2,23,3,1,1,1,1,1
68,7.3,1992-08-19T02:04:35.999998,1992-08-19T02:04:37.409985Z,1992-08-19T02:04:37.409985Z,42.142,73.575,27.0,1706,3060,188,8,0,7,0,10,2,7,0,7,0,1,1,1,1,1
69,7.2,1992-10-18T15:11:58.000004,1992-10-18T15:11:59.109960Z,1992-10-18T15:11:59.109960Z,7.075,-76.862,10.0,1728,3077,275,14,4,14,4,16,4,15,4,15,4,1,1,1,1,1
70,7.8,1992-12-12T05:29:25.000002,1992-12-12T05:29:26.349998Z,1992-12-12T05:29:26.349998Z,-8.48,121.896,27.0,1751,3365,51,21,0,21,0,41,1,27,0,27,1,1,1,1,1,1
71,7.7,1993-07-12T13:17:10.000000,1993-07-12T13:17:11.959990Z,1993-07-12T13:17:11.959990Z,42.851,139.197,16.0,1811,3422,75,22,0,21,0,36,0,24,0,24,1,1,1,1,1,1
72,7.8,1993-08-08T08:34:22.999998,1993-08-08T08:34:24.929992Z,1993-08-08T08:34:24.929992Z,12.982,144.801,59.0,1817,3430,47,6,0,6,0,27,1,15,1,15,1,1,1,1,1,1
73,7.2,1993-09-10T19:12:53.000003,1993-09-10T19:12:54.620006Z,1993-09-10T19:12:54.620006Z,14.717,-92.645,34.0,1824,3309,221,4,5,4,5,14,6,8,5,8,5,0,2,2,0,0
74,7.8,1994-06-02T18:17:32.999999,1994-06-02T18:17:34.020042Z,1994-06-02T18:17:34.020042Z,-10.477,112.835,18.0,1890,3441,53,53,0,53,0,97,3,84,0,84,0,1,1,1,1,1
75,7.2,1994-07-13T02:35:55.000003,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:56.020043Z,-16.62,167.518,33.0,1901,3426,271,8,1,8,1,37,9,23,1,23,2,1,1,1,1,1
76,8.3,1994-10-04T13:22:54.000001,1994-10-04T13:22:55.840019Z,1994-10-04T13:22:55.840019Z,43.773,147.321,14.0,1929,3403,8,147,0,139,0,449,21,144,0,144,3,1,1,1,1,5
77,7.4,1995-04-07T22:06:54.999999,1995-04-07T22:06:56.889960Z,1995-04-07T22:06:56.889960Z,-15.199,-173.529,21.0,1974,3340,169,4,0,4,0,32,27,8,0,8,0,1,1,1,1,1
78,7.2,1995-04-21T00:34:44.999999,1995-04-21T00:34:46.089982Z,1995-04-21T00:34:46.089982Z,12.059,125.58,20.0,1980,3385,228,19,5,16,5,66,10,40,5,39,6,4,4,4,4,4
