,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
288,7.8,-45.762,166.562,12.0,2009-07-15T09:22:29.029989Z,0,21,0,29,1,1,1,0,1,0
289,7.1,-13.966,166.516,43.0,1985-12-21T01:13:22.409957Z,20,23,21,37,4,4,23,17,34,18
290,7.0,-29.756,-177.683,36.0,2008-09-29T15:19:31.589964Z,0,9,5,25,1,1,9,0,25,5
291,7.6,-1.757,134.297,10.0,2002-10-10T10:50:20.570034Z,5,18,6,71,5,1,4,2,24,2
292,7.0,12.686,144.98,37.0,2001-10-12T15:02:16.839974Z,0,0,0,1,-1,-1,0,0,1,0
293,7.3,12.5262,-88.1225,40.0,2014-10-14T03:51:34.459981Z,0,0,0,3,1,-1,0,0,1,0
294,7.6,-3.302,142.945,13.0,2002-09-08T18:44:23.710014Z,1,18,7,31,1,1,3,0,6,2
295,7.4,2.824,96.085,30.0,2002-11-02T01:26:10.700017Z,0,6,0,10,1,1,2,0,3,0
296,9.1,38.297,142.373,29.0,2011-03-11T05:46:24.119965Z,35,569,121,872,1,1,3,1,3,2
297,7.0,-2.6286,138.5277,48.0,2015-07-27T21:41:21.709965Z,0,0,0,2,-1,-1,0,0,2,0
298,8.3,-31.5729,-71.6744,22.44,2015-09-16T22:54:32.860026Z,0,90,1,141,1,1,6,0,9,0
299,8.0,18.19,-102.533,27.9,1985-09-19T13:17:47.350031Z,0,4,0,11,2,2,1,0,2,0
300,7.4,1.271,122.091,30.0,2008-11-16T17:02:32.699960Z,0,2,0,11,1,-1,2,0,5,0
301,7.0,38.849,141.568,68.0,2003-05-26T09:24:33.400025Z,0,0,4,5,1,-1,0,0,5,4
302,7.4,2.768,95.964,26.0,2008-02-20T08:08:30.520036Z,0,10,3,24,1,1,2,0,8,3
303,8.4,-4.438,101.367,34.0,2007-09-12T11:10:26.829987Z,0,90,0,203,1,1,5,0,10,0
304,7.9,31.002,103.322,19.0,2008-05-12T06:28:01.570018Z,0,50,0,63,1,1,2,0,3,0
305,7.9,63.5141,-147.4529,4.2,2002-11-03T22:12:41.517964Z,1,19,2,20,1,1,0,1,0,1
306,7.0,-7.288,154.371,24.7,1987-10-12T13:57:04.790020Z,0,5,0,8,1,1,5,0,8,0
307,7.9,58.679,-142.786,10.0,1987-11-30T19:23:19.590001Z,5,7,5,16,2,1,1,1,3,1
308,7.8,35.946,90.541,10.0,2001-11-14T09:26:10.010002Z,0,12,0,14,1,1,0,0,0,0
309,7.3,-17.94,-172.225,16.0,1987-10-06T04:19:06.079960Z,0,4,0,16,1,1,1,0,9,0
310,7.8,51.146,178.65,33.0,2003-11-17T06:43:06.800021Z,4,25,68,57,1,1,1,0,6,19
311,7.4,-58.893,158.513,33.0,1987-09-03T06:40:13.909991Z,0,5,0,6,1,1,3,0,4,0
312,7.0,-60.063,-26.916,47.6,1987-01-30T22:29:42.089968Z,1,11,3,20,1,1,11,1,20,3
313,7.6,-23.043,-174.66,31.0,2009-03-19T18:17:40.469967Z,1,15,8,73,1,1,1,0,18,3
314,7.9,-4.721,102.087,33.0,2000-06-04T16:28:26.170032Z,0,50,2,115,1,1,4,0,11,1
315,7.1,1.8929,126.5217,45.0,2014-11-15T02:31:41.720044Z,0,21,0,48,5,0,16,0,38,0
316,7.2,-17.6,167.856,21.0,2002-01-02T17:22:48.760000Z,1,22,7,25,1,1,20,1,23,7
317,7.4,13.988,-91.895,24.0,2012-11-07T16:35:46.930043Z,0,8,2,26,1,1,4,0,12,2
318,7.0,-27.424,-176.33,25.0,2009-02-18T21:53:45.160026Z,0,4,0,6,1,1,4,0,6,0
319,7.7,-28.117,-176.367,29.1,1986-10-20T06:46:09.980027Z,0,68,1,114,1,1,11,0,17,0
320,7.5,6.033,124.249,31.0,2002-03-05T21:16:09.129968Z,0,6,0,12,1,1,1,0,6,0
321,7.7,-0.414,132.885,17.0,2009-01-03T19:43:50.650031Z,0,45,0,60,2,2,4,0,6,0
322,7.8,28.2305,84.7314,8.22,2015-04-25T06:11:25.949991Z,0,32,0,37,1,1,5,0,5,0
323,7.5,1.795,126.519,33.0,1986-08-14T19:39:13.670030Z,0,36,11,78,1,1,12,0,22,6
324,7.5,-5.4624,151.8751,55.0,2015-05-05T01:44:06.380020Z,17,43,141,114,4,5,7,7,20,43
325,7.6,-24.388,-70.161,62.3,1987-03-05T09:17:05.280025Z,0,9,0,31,5,1,6,0,13,0
326,7.1,1.271,126.249,35.0,2001-02-24T07:23:48.729956Z,0,10,2,35,1,1,9,0,29,2
327,7.3,-4.439,152.828,33.0,1985-07-03T04:36:51.730044Z,0,8,0,34,1,1,4,0,16,0
328,7.4,-6.266,149.06,47.8,1987-10-16T20:48:01.639986Z,2,3,40,25,2,1,1,0,11,19
329,7.1,24.279,122.179,32.8,2002-03-31T06:52:50.489995Z,0,2,6,14,2,-1,2,0,13,5
330,7.4,23.901,121.574,33.8,1986-11-14T21:20:10.549972Z,0,12,5,20,1,1,3,0,4,3
331,8.2,-19.6097,-70.7691,25.0,2014-04-01T23:46:47.260043Z,25,58,28,88,1,1,6,4,6,4
332,7.2,3.886,126.387,20.0,2009-02-11T17:34:50.489962Z,0,71,2,98,1,1,39,0,54,1
333,8.0,51.52,-174.776,33.0,1986-05-07T22:47:10.870027Z,3,68,4,169,1,1,1,1,10,1
334,7.6,-11.2701,162.1481,22.56,2014-04-12T20:14:39.300032Z,1,29,1,67,5,2,10,1,19,1
