,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
153,7.6,9.68,-83.08,10.0,1991-04-22T21:56:52.799996Z,0,4,0,9,1,1,2.0,2,0,3,0
154,7.6,45.47,151.05,26.0,1991-12-22T08:43:09.119997Z,12,4,12,15,1,1,2.0,0,8,5,8
155,7.6,-22.04,175.16,33.0,1990-03-03T12:16:24.959996Z,0,1,0,4,1,-1,0.0,0,0,1,0
156,7.7,42.84,139.25,17.0,1993-07-12T13:17:11.039999Z,0,3,0,6,1,1,3.0,1,0,1,0
157,7.2,-6.06,147.59,50.0,1992-05-15T07:05:05.280004Z,0,3,2,7,1,1,3.0,2,0,6,2
158,7.1,-56.04,-25.33,33.0,1991-12-27T04:05:57.119997Z,0,2,0,7,1,-1,3.0,2,0,7,0
159,7.0,51.92,158.7,34.0,1993-11-13T01:18:02.880001Z,0,2,21,5,5,-1,3.0,2,0,5,21
160,7.3,34.18,-116.51,5.0,1992-06-28T11:57:33.119998Z,0,5,1,7,1,1,0.0,4,0,4,1
161,8.4,-16.26,-73.64,33.0,2001-06-23T20:33:12.960004Z,0,14,23,37,1,1,3.0,3,0,3,3
162,7.0,-2.96,141.93,10.0,1998-07-17T08:49:12.000004Z,0,1,1,3,1,-1,3.0,1,0,3,1
163,7.1,-30.93,-71.22,58.0,1997-10-15T01:03:30.240005Z,0,2,12,4,5,-1,3.0,2,0,4,12
164,7.0,-6.92,128.95,33.0,1998-11-09T05:38:41.280000Z,1,3,1,5,2,2,3.0,3,1,5,1
165,7.6,40.75,29.86,17.0,1999-08-17T00:01:35.039999Z,0,3,0,8,2,1,1.0,1,0,4,0
166,7.6,23.77,120.98,33.0,1999-09-20T17:47:19.680004Z,0,11,0,26,1,1,3.0,4,0,9,0
167,7.1,12.06,125.93,23.0,1995-04-21T00:34:50.879999Z,3,18,3,38,4,4,0.0,18,3,38,3
168,7.9,0.72,119.98,33.0,1996-01-01T08:05:08.160000Z,0,4,0,19,1,1,2.0,0,0,4,0
169,7.7,-5.81,154.21,16.0,1995-08-16T10:27:24.480003Z,2,15,19,64,1,1,3.0,7,1,29,10
170,7.4,22.31,125.31,33.0,1998-05-03T23:30:20.159996Z,0,3,0,4,1,1,3.0,0,0,1,0
171,7.7,-12.58,166.68,33.0,1997-04-21T12:02:26.880002Z,0,8,4,25,1,1,3.0,3,0,6,2
172,7.8,54.84,162.04,33.0,1997-12-05T11:26:52.799996Z,0,22,0,36,1,1,3.0,4,0,7,0
173,7.5,-8.15,124.87,10.0,2004-11-11T21:26:38.400001Z,1,8,1,15,1,1,3.0,0,1,1,1
174,7.0,-32.11,-110.81,16.5,2014-10-09T02:14:29.760001Z,0,9,0,10,2,2,0.0,9,0,10,0
175,7.4,34.91,45.96,19.0,2017-11-12T18:18:17.279997Z,0,1,0,11,1,-1,2.0,1,0,5,0
176,7.0,51.61,-175.36,33.5,2013-08-30T16:25:06.239996Z,0,25,0,28,1,1,3.0,25,0,28,0
177,7.1,9.88,124.12,19.0,2013-10-15T00:12:31.680001Z,0,16,0,16,1,1,3.0,12,0,12,0
178,7.6,-0.25,119.84,20.0,2018-09-28T10:02:47.039998Z,2,8,2,11,1,1,1.0,0,1,0,1
179,7.2,37.89,144.09,36.1,2012-12-07T08:18:23.039997Z,0,3,1,10,3,2,3.0,3,0,8,1
180,7.8,-60.27,-46.4,10.0,2013-11-17T09:04:53.760004Z,5,4,5,8,1,1,0.0,0,2,1,2
181,7.1,1.9,126.52,45.0,2014-11-15T02:31:37.920005Z,0,14,0,34,5,0,0.0,11,0,29,0
182,7.1,-47.62,85.09,35.0,2015-12-04T22:24:57.600001Z,0,1,0,1,-1,-1,3.0,0,0,0,0
183,7.8,-4.95,94.33,24.0,2016-03-02T12:49:49.440001Z,0,3,0,4,1,1,0.0,0,0,0,0
184,7.8,26.97,65.52,15.0,2013-09-24T11:29:45.600004Z,0,5,0,12,1,1,3.0,2,0,2,0
185,7.1,1.62,126.42,33.0,2019-11-14T16:17:36.960005Z,1,18,11,18,1,1,0.0,15,1,15,10
186,7.2,38.23,72.75,33.0,2015-12-07T07:50:09.599997Z,0,0,0,6,1,-1,1.0,0,0,4,0
187,7.3,17.4,-100.96,24.0,2014-04-18T14:27:27.359998Z,0,3,0,6,1,1,0.0,2,0,2,0
188,7.2,-0.59,128.03,19.4,2019-07-14T09:10:47.999995Z,0,2,0,5,1,-1,3.0,1,0,3,0
189,7.0,35.77,-117.6,8.0,2019-07-06T03:19:52.319996Z,2,1,2,2,1,1,3.0,1,2,2,2
190,7.2,55.1,164.7,16.6,2018-12-20T17:01:58.080001Z,0,8,0,16,1,1,0.0,4,0,9,0
191,7.5,-55.28,-31.88,10.0,2016-08-19T07:32:26.880002Z,0,22,0,37,1,1,0.0,4,0,4,0
192,7.8,-42.74,173.05,15.2,2016-11-13T11:02:58.559998Z,0,14,0,18,1,1,0.0,1,0,1,0
193,7.5,-6.07,142.75,25.2,2018-02-25T17:44:44.159997Z,0,26,0,36,1,1,1.0,9,0,10,0
194,7.3,-60.86,-25.07,11.0,2013-07-15T14:03:41.759995Z,0,1,0,6,1,-1,2.0,0,0,2,0
195,7.2,-22.48,173.12,16.4,2016-08-12T01:26:32.640000Z,0,10,2,13,1,1,1.0,4,0,5,1
196,7.0,-16.04,167.38,24.0,2016-04-28T19:33:27.360000Z,0,7,0,12,1,1,3.0,7,0,12,0
197,7.3,-30.64,-178.1,46.0,2019-06-15T22:55:03.360001Z,0,31,12,43,1,1,3.0,15,0,19,6
198,7.6,-4.05,152.6,10.0,2019-05-14T12:58:27.839996Z,1,4,33,9,1,1,0.0,2,0,3,14
199,7.8,0.35,-79.93,21.0,2016-04-16T23:58:33.599996Z,0,15,0,28,1,1,3.0,5,0,9,0
200,7.3,12.53,-88.12,40.0,2014-10-14T03:51:33.119996Z,0,0,0,3,1,-1,3.0,0,0,1,0
201,7.1,-37.36,179.15,19.0,2016-09-01T16:37:55.199997Z,0,0,0,13,1,-1,3.0,0,0,6,0
202,7.8,-10.68,161.32,40.0,2016-12-08T17:38:49.919995Z,0,37,0,59,1,1,3.0,8,0,11,0
203,8.1,-19.61,-70.77,25.0,2014-04-01T23:46:45.120003Z,20,32,23,64,2,2,3.0,6,4,6,4
204,7.1,52.65,-31.9,16.7,2015-02-13T18:59:11.040003Z,1,1,1,1,-1,-1,1.0,0,1,0,1
205,8.2,15.02,-93.9,47.4,2017-09-08T04:49:17.760005Z,1,30,8,65,1,1,3.0,1,0,2,2
206,7.6,-11.27,162.15,22.6,2014-04-12T20:14:38.399996Z,0,23,0,59,5,2,3.0,6,0,16,0
207,7.0,-2.63,138.53,48.0,2015-07-27T21:41:19.680002Z,0,0,0,4,1,-1,1.0,0,0,4,0
208,8.3,-31.57,-71.67,22.4,2015-09-16T22:54:28.799999Z,0,44,1,92,1,1,3.0,3,0,7,0
209,7.1,-0.05,-17.83,10.0,2016-08-29T04:30:00.000000Z,0,0,0,2,-1,-1,3.0,0,0,0,0
210,7.0,-61.03,-34.37,10.0,2006-08-20T03:41:45.599998Z,0,4,0,5,1,1,0.0,4,0,5,0
211,7.7,-9.25,107.41,34.0,2006-07-17T08:19:32.160000Z,0,17,0,24,1,1,2.0,6,0,10,0
212,7.0,-21.32,33.58,11.0,2006-02-22T22:19:12.000004Z,0,5,0,9,1,1,1.0,5,0,9,0
213,7.2,38.28,142.04,36.0,2005-08-16T02:46:27.840002Z,0,3,0,12,1,1,0.0,2,0,8,0
214,7.6,34.54,73.59,26.0,2005-10-08T03:50:41.280004Z,0,18,0,22,1,1,0.0,5,0,5,0
215,7.6,60.95,167.09,22.0,2006-04-20T23:25:00.479996Z,0,11,0,16,1,1,3.0,4,0,5,0
216,7.2,41.3,-125.97,10.0,2005-06-15T02:50:55.679999Z,0,1,0,4,1,-1,3.0,1,0,1,0
217,7.7,-6.89,72.12,10.0,1983-11-30T17:46:01.919995Z,0,9,0,11,1,1,0.0,3,0,3,0
218,7.0,55.79,161.21,55.0,1983-08-17T10:55:55.200003Z,0,0,0,3,1,-1,3.0,0,0,3,0
219,8.0,-13.39,-76.6,39.0,2007-08-15T23:40:59.519996Z,0,12,2,19,1,1,0.0,3,0,3,2
220,7.1,35.49,81.47,10.0,2008-03-20T22:33:01.440004Z,0,7,0,7,1,1,3.0,5,0,5,0
221,8.0,-20.19,-174.12,55.0,2006-05-03T15:26:38.400001Z,0,24,3,65,1,1,3.0,0,0,1,1
222,8.1,-8.46,157.04,10.0,2007-04-01T20:39:59.039998Z,0,41,7,68,1,1,3.0,5,0,7,1
223,8.3,46.57,153.29,38.9,2006-11-15T11:14:21.119996Z,1,31,15,75,2,1,3.0,2,0,3,2
224,8.5,-4.44,101.37,34.0,2007-09-12T11:10:27.840000Z,0,36,1,106,1,1,1.0,4,0,9,0
225,7.4,-49.27,164.12,10.0,2007-09-30T05:23:34.080002Z,0,7,0,9,1,1,3.0,2,0,3,0
226,7.5,1.07,126.28,22.0,2007-01-21T11:27:44.639999Z,0,20,4,59,1,1,2.0,8,0,22,4
227,7.2,-11.61,165.76,35.0,2007-09-02T01:05:13.920000Z,3,12,4,22,1,1,3.0,6,1,12,2
228,7.9,-13.8,97.45,10.0,2000-06-18T14:44:09.599995Z,0,2,0,2,-1,-1,3.0,0,0,0,0
229,7.0,1.27,126.25,35.0,2001-02-24T07:23:48.479997Z,0,6,2,19,1,1,0.0,6,0,19,2
230,7.9,-4.72,102.09,33.0,2000-06-04T16:28:24.960001Z,0,17,2,57,1,1,3.0,3,0,8,1
231,7.0,57.41,-154.49,66.0,1999-12-06T23:12:37.440001Z,0,1,0,9,5,-1,1.0,1,0,9,0
232,7.3,-10.49,160.77,33.0,2003-01-20T08:43:09.119997Z,2,1,16,4,1,1,0.0,0,1,2,13
233,7.6,-3.3,142.95,13.0,2002-09-08T18:44:21.119996Z,1,7,4,20,1,1,3.0,3,0,7,2
234,7.9,63.52,-147.44,4.9,2002-11-03T22:12:43.200001Z,1,4,2,5,1,1,0.0,0,1,0,1
235,7.0,38.85,141.57,68.0,2003-05-26T09:24:37.440005Z,0,0,3,4,1,-1,3.0,0,0,4,3
236,8.0,-3.98,152.17,33.0,2000-11-16T04:54:54.719996Z,2,48,6,113,3,3,3.0,10,1,24,4
237,7.5,6.03,124.25,31.0,2002-03-05T21:16:07.679996Z,0,4,0,10,1,1,3.0,1,0,6,0
238,7.1,13.53,121.09,33.0,1994-11-14T19:15:27.360004Z,0,3,0,4,1,1,1.0,2,0,3,0
239,7.2,7.17,126.86,33.0,1992-05-17T10:15:27.360004Z,1,1,1,12,3,-1,3.0,1,1,10,1
240,8.2,-0.95,137.03,33.0,1996-02-17T05:59:25.439998Z,0,15,0,27,1,1,3.0,4,0,5,0
241,7.0,-2.77,-77.88,27.0,1995-10-03T01:51:27.359996Z,0,6,0,7,1,1,3.0,6,0,7,0
242,7.1,27.92,130.34,27.0,1995-10-18T10:37:29.280001Z,0,9,0,10,0,0,3.0,8,0,9,0
243,7.0,52.56,142.81,33.0,1995-05-27T13:03:56.160001Z,0,3,0,6,1,1,0.0,3,0,6,0
244,7.7,-23.01,169.89,33.0,1995-05-16T20:12:46.079996Z,0,9,1,24,1,1,2.0,3,0,8,1
245,7.6,1.16,122.84,28.0,1990-04-18T13:39:21.600002Z,0,9,0,38,2,1,3.0,5,0,19,0
246,7.7,15.66,121.23,25.0,1990-07-16T07:26:32.640000Z,0,12,0,17,1,1,0.0,4,0,5,0
247,7.4,15.23,147.53,32.0,1990-04-05T21:12:40.319996Z,0,2,0,8,1,-1,3.0,1,0,2,0
248,7.2,42.08,73.56,22.0,1992-08-19T02:04:33.599998Z,0,0,0,2,-1,-1,3.0,0,0,1,0
249,8.3,43.71,147.33,33.0,1994-10-04T13:22:56.639995Z,0,23,2,150,5,1,0.0,1,0,10,1
250,7.2,13.42,124.6,21.0,1988-02-24T03:51:59.040002Z,0,1,0,4,1,-1,3.0,1,0,3,0
251,7.7,-2.07,124.89,33.0,1998-11-29T14:10:27.840000Z,1,8,5,23,1,1,3.0,3,0,8,1
252,7.1,5.4,121.94,33.0,1999-03-04T08:52:04.800003Z,0,3,0,3,1,1,2.0,2,0,2,0
253,7.2,33.83,59.81,10.0,1997-05-10T07:57:30.240003Z,0,0,0,3,1,-1,3.0,0,0,2,0
254,7.1,29.98,68.21,33.0,1997-02-27T21:08:03.840003Z,0,2,0,6,1,-1,3.0,2,0,5,0
