,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
110,1,1,13.0,0.0,-3.3,142.95,7.6,5,6,3,3,1,4,2,0,2002-09-08T18:44:21.119996Z
111,1,1,33.0,3.0,-5.5,151.78,7.8,4,5,4,4,1,9,3,0,2000-11-17T21:01:52.320000Z
112,-1,-1,33.0,1.0,22.31,125.31,7.4,1,1,0,0,0,0,0,0,1998-05-03T23:30:20.159996Z
113,1,1,33.0,3.0,-4.72,102.09,7.9,17,29,5,3,0,2,0,0,2000-06-04T16:28:24.960001Z
114,1,1,33.0,3.0,-17.54,-72.08,7.6,1,2,0,0,2,3,1,0,2001-07-07T09:38:44.160005Z
115,1,-1,33.0,3.0,-16.26,-73.64,8.4,2,5,1,1,0,0,0,0,2001-06-23T20:33:12.960004Z
116,1,1,21.0,3.0,-17.6,167.86,7.2,12,31,31,12,1,7,7,1,2002-01-02T17:22:50.880005Z
117,1,1,30.0,3.0,-5.23,153.1,7.8,34,48,14,10,0,11,4,0,2000-11-16T07:42:14.400000Z
118,1,-1,6.0,0.0,32.3,-115.27,7.2,1,1,1,1,0,2,2,0,2010-04-04T22:40:39.360000Z
119,1,1,12.0,0.0,-45.76,166.56,7.8,3,3,1,1,0,0,0,0,2009-07-15T09:22:27.840004Z
120,2,2,45.0,3.0,-13.01,166.51,7.6,7,9,7,6,0,0,0,0,2009-10-07T22:03:12.960004Z
121,1,1,18.0,3.0,-15.49,-172.1,8.1,3,3,0,0,0,1,0,0,2009-09-29T17:48:11.519997Z
122,1,1,34.0,1.0,14.73,-92.68,7.2,6,7,7,6,5,8,8,5,1993-09-10T19:12:51.839996Z
123,2,2,17.0,0.0,-0.41,132.88,7.7,12,17,6,4,0,0,0,0,2009-01-03T19:43:49.439999Z
124,1,1,14.0,3.0,26.9,143.7,7.4,7,7,5,5,0,0,0,0,2010-12-21T17:19:40.800006Z
125,-1,-1,20.1,0.0,-3.49,100.08,7.8,1,1,0,0,0,0,0,0,2010-10-25T14:42:25.920000Z
126,1,1,16.0,1.0,-19.7,167.94,7.3,16,21,16,12,1,1,1,1,2010-12-25T13:16:36.479997Z
127,1,-1,50.0,0.0,-6.06,147.59,7.2,2,3,3,2,0,2,2,0,1992-05-15T07:05:05.280004Z
128,1,1,26.0,0.0,45.47,151.05,7.6,4,6,1,1,11,11,8,8,1991-12-22T08:43:09.119997Z
129,1,1,20.0,0.0,16.5,-98.22,7.5,3,7,2,1,0,1,0,0,2012-03-20T18:02:44.160003Z
130,1,1,31.0,3.0,-13.7,166.64,7.2,5,9,9,5,0,11,11,0,2010-05-27T17:14:47.040002Z
131,1,1,35.0,3.0,-12.52,166.38,7.8,13,17,3,3,0,1,1,0,2009-10-07T22:18:54.720004Z
132,1,1,44.8,1.0,-35.85,-72.71,8.8,18,31,0,0,0,1,0,0,2010-02-27T06:34:16.319997Z
133,1,1,24.4,2.0,38.32,142.37,9.1,66,110,1,1,11,19,1,1,2011-03-11T05:46:19.199996Z
134,3,3,35.0,2.0,-5.93,150.59,7.3,9,21,17,7,2,2,2,2,2010-07-18T13:35:02.399999Z
135,1,1,5.0,0.0,34.18,-116.51,7.3,4,6,4,4,0,1,1,0,1992-06-28T11:57:33.119998Z
136,1,1,35.0,2.0,7.88,91.94,7.5,4,4,1,1,1,2,1,0,2010-06-12T19:26:49.920001Z
137,1,1,25.0,0.0,-17.54,168.07,7.3,6,8,6,4,0,14,13,0,2010-08-10T05:23:42.719997Z
138,1,1,33.0,1.0,-23.01,169.89,7.7,4,5,3,2,0,0,0,0,1995-05-16T20:12:46.079996Z
139,1,1,10.0,3.0,-8.46,157.04,8.1,9,9,2,2,1,1,0,0,2007-04-01T20:39:59.039998Z
140,1,1,10.0,2.0,46.24,154.52,8.1,1,2,1,0,5,5,2,2,2007-01-13T04:23:22.560001Z
141,1,1,22.0,0.0,1.07,126.28,7.5,17,20,10,8,0,2,1,0,2007-01-21T11:27:44.639999Z
142,1,1,30.0,1.0,2.09,97.11,8.6,8,20,2,1,0,1,0,0,2005-03-28T16:09:33.120002Z
143,1,1,26.0,3.0,34.54,73.59,7.6,14,16,5,5,0,2,0,0,2005-10-08T03:50:41.280004Z
144,1,1,55.0,3.0,-20.19,-174.12,8.0,8,9,0,0,0,7,1,0,2006-05-03T15:26:38.400001Z
145,1,1,34.0,2.0,-9.25,107.41,7.7,6,6,3,3,0,0,0,0,2006-07-17T08:19:32.160000Z
146,1,1,29.4,3.0,51.36,-179.52,7.2,3,4,4,3,0,12,12,0,2007-12-19T09:30:23.040001Z
147,1,1,33.0,3.0,-16.62,167.51,7.2,10,10,10,10,1,4,4,1,1994-07-13T02:35:57.119997Z
148,1,1,33.0,3.0,-20.07,168.89,7.3,15,16,14,13,3,7,7,3,2008-04-09T12:46:13.439996Z
149,1,1,33.0,0.0,40.45,143.49,7.7,5,9,3,2,0,1,1,0,1994-12-28T12:19:26.400000Z
150,1,1,38.9,0.0,46.57,153.29,8.3,3,13,1,0,9,9,2,2,2006-11-15T11:14:21.119996Z
151,1,1,35.0,1.0,-11.61,165.76,7.2,6,16,16,6,1,5,5,1,2007-09-02T01:05:13.920000Z
152,1,1,33.0,3.0,43.71,147.33,8.3,16,35,2,1,0,2,0,0,1994-10-04T13:22:56.639995Z
153,1,1,35.0,3.0,-2.62,100.84,7.9,8,16,4,2,0,0,0,0,2007-09-12T23:49:03.359999Z
154,4,1,25.0,3.0,-2.49,99.97,7.2,4,10,10,4,5,30,30,5,2008-02-25T08:36:31.679998Z
155,1,1,34.0,0.0,-4.44,101.37,8.5,10,23,3,1,0,0,0,0,2007-09-12T11:10:27.840000Z
