,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
215,4.8,38.512,43.239,19.6,2001-12-02T04:11:47.170029Z,0,2,0,2,0,0,0,0,0,0
216,4.0,40.235,25.1335,5.7,2007-05-03T05:41:14.899977Z,1,0,1,0,0,0,0,0,0,0
217,4.0,36.9004,36.6046,2.7,2016-04-23T19:51:58.559987Z,1,0,1,0,0,0,0,0,0,0
218,3.8,35.3,25.19,8.0,1995-06-17T16:18:52.100002Z,1,0,1,0,0,0,0,1,0,1
219,4.7,43.4989,44.9713,24.8,2005-01-07T15:10:54.760027Z,0,7,0,7,4,4,0,0,0,0
220,4.0,39.939,38.5924,2.6,2016-11-20T22:52:36.490027Z,0,1,0,1,0,0,0,0,0,0
221,3.8,43.55,45.71,19.0,2007-09-29T01:29:35.900020Z,0,1,0,1,0,0,1,0,1,0
222,4.5,43.3111,45.8507,2.4,2007-09-23T22:25:59.140041Z,1,1,1,1,0,0,0,0,0,0
223,4.0,35.5,26.3,30.0,1999-09-30T16:33:21.000006Z,0,1,0,1,0,0,0,0,0,0
224,4.2,42.47,43.75,10.0,1996-10-04T08:43:04.899964Z,0,1,0,1,0,0,0,0,0,0
225,4.0,36.1145,29.6858,2.5,2015-09-28T03:34:01.820005Z,1,1,1,1,0,0,0,0,0,0
226,4.0,36.3711,41.0102,10.0,2007-04-02T19:56:16.129964Z,1,0,1,0,0,0,0,0,0,0
227,4.3,43.0504,44.215,4.8,2007-08-27T09:03:35.599967Z,0,1,0,1,0,0,0,0,0,0
228,4.0,41.4171,44.202,15.9,2007-03-20T04:02:43.209974Z,1,0,1,0,0,0,0,0,0,0
229,4.0,36.5911,25.8569,22.8,2005-10-29T08:37:26.399969Z,2,0,2,0,0,0,0,0,0,0
230,3.8,43.2821,43.618,15.7,2007-08-27T17:20:53.919977Z,0,1,0,1,0,0,1,0,1,0
231,4.3,37.5686,37.5758,3.9,2017-08-18T04:30:01.329957Z,0,1,0,1,0,0,0,0,0,0
232,4.3,41.4515,43.9149,0.4,2007-08-14T22:21:07.260021Z,0,4,0,4,4,4,0,0,0,0
233,4.5,41.2041,43.7557,10.0,2007-07-24T19:31:25.840039Z,6,3,6,6,4,4,1,0,1,0
234,3.8,36.8777,29.1272,7.0,1995-07-25T02:06:25.090039Z,0,1,0,1,0,0,1,0,1,0
235,4.5,38.3669,45.3966,5.1,2018-04-16T00:02:08.159967Z,0,3,0,5,0,2,0,0,0,0
236,4.1,41.0951,43.8381,1.2,2008-04-24T11:46:55.169958Z,1,0,1,0,0,0,0,0,0,0
237,3.9,43.193,45.641,17.0,2006-07-23T07:16:07.900007Z,1,0,1,0,0,0,0,0,0,0
