,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
76,1,1,16.06,8.9095,-84.1193,4.91,7,7,2,2,12,12,5,5,2019-02-13T07:23:26.000015Z
77,-1,-1,19.71,9.5033,-83.7509,4.9,0,0,0,0,0,0,0,0,2015-04-03T18:32:27.999965Z
78,-1,-1,12.68,10.7842,-85.0435,4.9,0,0,0,0,0,0,0,0,2016-07-03T02:16:10.999987Z
79,1,1,20.6,8.305,-82.8232,4.89,0,0,0,0,6,6,4,4,2015-06-25T02:53:11.000036Z
80,1,1,27.11,8.9081,-82.9123,4.88,3,3,1,1,1,1,1,1,2015-02-18T16:59:34.999958Z
81,1,1,18.55,8.6261,-83.2955,4.88,29,29,13,13,2,2,2,2,2021-02-16T01:31:27.999955Z
82,-1,-1,45.83,10.0279,-85.0395,4.87,1,1,1,1,0,0,0,0,2014-03-10T18:00:57.999967Z
83,-1,-1,30.64,8.368,-82.8549,4.87,0,0,0,0,0,0,0,0,2019-06-26T19:12:28.000003Z
84,1,1,22.64,9.652000000000001,-84.1985,4.86,5,5,0,0,0,0,0,0,2014-08-07T08:50:03.000019Z
85,-1,-1,30.45,8.2049,-82.8111,4.85,0,0,0,0,1,1,0,0,2015-11-02T10:36:28.000018Z
86,-1,-1,47.29,10.1583,-85.3246,4.84,0,0,0,0,0,0,0,0,2015-02-18T13:12:25.000019Z
87,-1,-1,31.7,8.3354,-82.7874,4.84,2,2,2,2,0,0,0,0,2015-09-19T03:05:11.000003Z
88,-1,-1,33.96,8.3262,-82.8119,4.84,2,2,1,1,0,0,0,0,2019-07-01T12:24:02.000014Z
89,-1,-1,10.59,10.5567,-85.5435,4.83,0,0,0,0,0,0,0,0,2021-09-13T06:32:01.999965Z
90,2,2,40.38,9.5164,-84.1287,4.83,12,12,4,4,2,2,1,1,2014-01-30T01:40:44.000027Z
91,-1,-1,17.05,8.335,-83.1603,4.82,0,0,0,0,1,1,1,1,2014-10-16T05:41:02.000027Z
92,-1,-1,27.09,8.4147,-82.8476,4.82,0,0,0,0,0,0,0,0,2014-06-23T19:13:12.999970Z
93,1,1,27.6,9.4744,-83.791,4.82,6,6,3,3,0,0,0,0,2018-04-27T15:33:41.000032Z
94,1,1,39.04,8.3776,-82.8103,4.82,4,4,4,4,6,6,2,2,2021-07-23T20:03:11.000044Z
95,-1,-1,23.38,9.6431,-84.0966,4.81,0,0,0,0,0,0,0,0,2016-08-17T16:06:32.000033Z
96,-1,-1,41.14,8.7571,-82.8615,4.81,0,0,0,0,0,0,0,0,2018-04-01T03:32:01.999965Z
97,-1,-1,26.82,9.3412,-84.6272,4.79,1,1,1,1,0,0,0,0,2017-06-17T15:00:37.000020Z
98,-1,-1,20.82,9.4256,-84.6798,4.79,0,0,0,0,0,0,0,0,2014-02-16T19:21:57.999969Z
99,1,1,23.82,9.0037,-83.9478,4.78,4,4,2,2,2,2,1,1,2021-09-09T04:27:30.000019Z
100,-1,-1,15.94,9.307,-84.6356,4.78,0,0,0,0,2,2,0,0,2018-07-25T09:43:42.999965Z
101,-1,-1,31.32,8.9512,-84.2489,4.78,0,0,0,0,0,0,0,0,2016-01-14T16:40:51.999974Z
102,1,1,25.05,9.639,-84.8783,4.77,4,4,2,2,2,2,0,0,2020-12-08T03:33:27.000027Z
103,-1,-1,9.21,8.2174,-83.0281,4.77,0,0,0,0,0,0,0,0,2020-09-04T17:54:55.999949Z
104,-1,-1,23.65,8.8072,-83.2811,4.77,0,0,0,0,0,0,0,0,2021-04-20T11:22:48.000036Z
105,1,1,7.06,8.9114,-84.0959,4.77,0,0,0,0,5,5,3,3,2019-12-18T10:57:42.999982Z
106,-1,-1,34.63,8.3711,-82.8353,4.77,0,0,0,0,1,1,1,1,2016-06-05T21:20:26.000019Z
107,1,1,39.14,8.3885,-82.8552,4.76,7,7,5,5,4,4,3,3,2021-03-29T22:15:59.000035Z
108,-1,-1,13.4,10.6059,-83.8439,4.76,0,0,0,0,0,0,0,0,2016-08-07T06:09:50.000029Z
109,-1,-1,51.31,9.4465,-84.0695,4.75,0,0,0,0,0,0,0,0,2015-10-01T17:51:04.999965Z
110,-1,-1,8.88,10.1562,-83.8998,4.75,1,1,0,0,0,0,0,0,2018-11-17T14:12:53.000035Z
111,-1,-1,21.65,8.6674,-82.8142,4.74,0,0,0,0,0,0,0,0,2016-02-13T21:20:58.999981Z
112,2,2,26.6,8.831,-82.9124,4.74,5,5,2,2,3,3,3,3,2018-08-18T18:18:28.999980Z
113,-1,-1,15.71,9.9631,-84.2501,4.73,2,2,1,1,0,0,0,0,2014-07-24T18:48:25.999979Z
114,5,5,12.84,10.6577,-84.9625,4.73,17,17,8,8,9,9,6,6,2018-01-11T17:03:17.000001Z
115,-1,-1,31.19,8.4288,-82.9985,4.72,0,0,0,0,1,1,1,1,2020-12-08T14:53:11.000036Z
116,-1,-1,17.4,8.1874,-82.9331,4.72,0,0,0,0,0,0,0,0,2020-09-05T05:38:10.999999Z
117,5,5,16.27,7.9858,-82.9212,4.72,2,2,2,2,4,4,4,4,2021-01-29T15:03:22.000001Z
118,-1,-1,19.23,9.6507,-85.1019,4.72,1,1,0,0,0,0,0,0,2014-09-09T16:07:55.000000Z
119,-1,-1,21.93,8.5379,-83.7679,4.71,0,0,0,0,0,0,0,0,2019-11-05T23:11:40.999983Z
120,-1,-1,13.31,8.3035,-83.0638,4.7,0,0,0,0,0,0,0,0,2018-01-30T09:45:13.000000Z
121,-1,-1,21.66,8.6488,-82.8793,4.69,1,1,1,1,1,1,1,1,2021-08-16T10:05:58.999981Z
122,1,1,11.34,8.9684,-84.1633,4.68,2,2,2,2,1,1,1,1,2014-03-04T05:28:45.999986Z
123,-1,-1,31.14,8.3206,-82.7999,4.68,0,0,0,0,0,0,0,0,2015-10-31T20:22:17.999968Z
124,-1,-1,11.58,10.1538,-83.9873,4.68,2,2,1,1,0,0,0,0,2015-10-31T15:10:13.999949Z
125,4,4,36.85,8.3644,-82.8528,4.68,5,5,3,3,0,0,0,0,2019-07-11T11:48:11.000044Z
126,-1,-1,4.34,8.5638,-83.6785,4.67,0,0,0,0,0,0,0,0,2018-12-23T09:55:04.000013Z
127,-1,-1,16.35,8.5885,-82.8964,4.66,0,0,0,0,0,0,0,0,2020-09-26T07:27:21.999972Z
128,-1,-1,33.61,8.2673,-82.9053,4.66,0,0,0,0,0,0,0,0,2014-05-05T00:12:00.999972Z
129,-1,-1,20.65,9.0198,-84.0667,4.65,1,1,0,0,0,0,0,0,2021-03-08T09:10:16.000028Z
130,-1,-1,28.57,8.1696,-82.8292,4.65,0,0,0,0,0,0,0,0,2016-01-03T07:06:37.999980Z
131,-1,-1,21.0,9.5289,-84.8669,4.64,1,1,1,1,0,0,0,0,2014-02-12T20:38:06.000036Z
132,1,1,20.73,9.4963,-84.84700000000001,4.64,2,2,2,2,1,1,0,0,2019-10-10T03:22:58.999984Z
133,-1,-1,40.98,8.3607,-82.7964,4.63,0,0,0,0,0,0,0,0,2019-06-26T22:47:17.000018Z
134,-1,-1,51.34,10.142000000000001,-85.3415,4.62,0,0,0,0,0,0,0,0,2014-07-10T02:59:47.000000Z
135,1,1,17.53,9.4201,-84.667,4.62,2,2,2,2,7,7,4,4,2017-11-22T13:26:11.999990Z
136,-1,-1,18.64,8.5149,-83.54700000000001,4.62,0,0,0,0,0,0,0,0,2018-08-08T01:24:18.000035Z
