,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
70,5.3,2005-07-30T21:45:00.999999,2005-07-30T21:45:02.069965Z,2005-07-30T21:45:02.069965Z,39.413,33.097,15.0,1497,1111,111,195,0,178,0,196,0,175,0,167,0,5,5,5,5,5
71,5.7,1999-12-03T17:06:54.000000,1999-12-03T17:06:55.949970Z,1999-12-03T17:06:55.949970Z,40.435,42.378,14.0,565,69,50,5,0,5,0,7,0,4,0,4,0,1,1,1,1,1
72,5.3,2007-08-25T22:05:47.999998,2007-08-25T22:05:49.369999Z,2007-08-25T22:05:49.369999Z,39.268,41.139,7.0,2014,1251,118,9,0,9,0,5,0,5,0,4,1,1,1,1,1,1
73,6.0,2000-12-15T16:44:45.000001,2000-12-15T16:44:46.640001Z,2000-12-15T16:44:46.640001Z,38.402,31.325,10.0,709,778,16,92,0,92,0,95,0,91,0,90,0,1,1,1,1,1
74,5.1,1995-08-18T00:52:26.000003,1995-08-18T00:52:27.259966Z,1995-08-18T00:52:27.259966Z,37.815,29.387,16.0,88,750,235,19,0,17,0,8,0,8,0,6,0,1,1,1,1,1
75,7.2,2011-10-23T10:41:20.999999,2011-10-23T10:41:22.009980Z,2011-10-23T10:41:22.009980Z,38.729,43.447,7.0,3087,1042,2,3220,0,2610,0,3850,0,2604,0,2604,24,1,1,1,1,1
76,5.5,2011-09-22T03:22:35.000000,2011-09-22T03:22:36.979996Z,2011-09-22T03:22:36.979996Z,39.666,38.672,7.0,3072,992,72,64,0,62,0,66,0,62,0,62,0,1,1,1,1,1
77,5.1,2005-11-26T15:56:54.000002,2005-11-26T15:56:55.780014Z,2005-11-26T15:56:55.780014Z,38.241,38.854,10.0,1569,346,232,1,0,1,0,3,0,2,0,2,0,-1,-1,-1,-1,1
78,5.2,2012-06-14T05:52:52.000002,2012-06-14T05:52:53.659987Z,2012-06-14T05:52:53.659987Z,37.216,42.483,11.0,3252,1023,141,26,1,26,1,21,0,21,0,18,0,1,1,1,1,1
79,5.2,2013-03-11T14:57:07.000000,2013-03-11T14:57:08.520021Z,2013-03-11T14:57:08.520021Z,36.612,43.417,12.0,3403,1014,145,15,0,13,0,7,0,7,0,7,0,1,1,1,1,1
80,5.1,2007-10-29T09:23:18.000003,2007-10-29T09:23:19.289986Z,2007-10-29T09:23:19.289986Z,36.916,29.327,36.0,2068,1263,200,244,0,84,0,52,0,38,0,25,1,2,2,4,2,2
81,6.0,2009-09-07T22:49:27.999998,2009-09-07T22:49:29.880015Z,2009-09-07T22:49:29.880015Z,42.507,43.515,16.0,2663,885,17,128,6,95,6,119,6,83,6,82,6,2,2,2,2,2
82,5.3,2011-01-19T09:17:48.000002,2011-01-19T09:17:49.539984Z,2011-01-19T09:17:49.539984Z,41.963,42.66,10.0,2934,575,124,12,0,12,0,12,0,12,0,11,0,1,1,1,1,1
83,5.7,2012-12-23T13:31:38.999999,2012-12-23T13:31:40.319985Z,2012-12-23T13:31:40.319985Z,42.441,41.058,12.0,3366,1015,44,86,0,76,0,99,0,80,0,80,0,2,2,2,2,2
84,5.2,2017-11-24T21:49:14.999999,2017-11-24T21:49:16.019965Z,2017-11-24T21:49:16.019965Z,37.107,28.605,11.0,3985,944,173,16,4,15,4,21,5,15,5,15,5,2,2,2,2,2
85,6.4,2008-07-15T03:26:34.999997,2008-07-15T03:26:36.550000Z,2008-07-15T03:26:36.550000Z,35.923,27.804,64.0,2322,1208,7,59,0,53,0,110,0,41,0,41,3,1,1,1,1,1
86,5.1,1997-01-11T14:40:15.999999,1997-01-11T14:40:17.999964Z,1997-01-11T14:40:17.999964Z,39.68,39.78,15.0,285,554,217,1,0,1,0,1,0,1,0,1,0,-1,-1,-1,-1,-1
87,5.1,2015-11-29T00:28:10.000001,2015-11-29T00:28:11.600028Z,2015-11-29T00:28:11.600028Z,38.845,37.807,10.0,3762,957,196,23,0,22,0,21,0,20,0,20,0,1,1,1,1,1
88,5.4,2015-12-02T23:27:07.000002,2015-12-02T23:27:08.529985Z,2015-12-02T23:27:08.529985Z,39.257,40.248,3.0,3764,958,81,20,0,18,0,24,1,18,1,18,1,1,1,1,1,1
89,5.1,2009-01-13T06:12:43.999999,2009-01-13T06:12:45.249983Z,2009-01-13T06:12:45.249983Z,35.663,26.345,52.0,2470,1200,191,4,0,3,0,6,0,3,0,3,1,1,1,1,1,1
90,5.2,2007-11-09T01:43:03.999997,2007-11-09T01:43:05.130020Z,2007-11-09T01:43:05.130020Z,38.773,25.706,13.0,2079,1262,163,24,0,24,0,13,0,12,0,11,1,0,0,0,0,0
91,5.7,2013-01-08T14:16:08.000001,2013-01-08T14:16:09.590017Z,2013-01-08T14:16:09.590017Z,39.668,25.537,11.0,3379,1016,48,111,0,104,0,115,0,104,0,104,0,1,1,1,1,1
92,5.6,2004-03-25T19:30:46.000002,2004-03-25T19:30:47.790004Z,2004-03-25T19:30:47.790004Z,39.931,40.882,10.0,1163,1132,58,295,0,269,0,279,0,241,0,228,1,2,2,2,2,2
93,5.9,1995-02-23T21:03:03.000000,1995-02-23T21:03:04.359974Z,1995-02-23T21:03:04.359974Z,35.029,32.382,17.0,42,625,27,10,0,7,0,10,0,6,0,6,0,1,1,1,1,1
94,5.8,2005-01-23T22:36:05.999998,2005-01-23T22:36:07.390001Z,2005-01-23T22:36:07.390001Z,35.848,29.665,42.0,1366,529,31,32,0,28,0,31,0,26,0,26,0,1,1,1,1,1
95,5.3,2010-11-03T02:51:26.000002,2010-11-03T02:51:27.470020Z,2010-11-03T02:51:27.470020Z,40.413,26.296,14.0,2916,577,129,2,0,2,0,2,0,2,0,2,0,-1,-1,-1,-1,-1
