,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
65,1,1,6.575,36.64017,-121.251,4.6,7,7,4,4,1,1,1,1,2001-12-28T21:14:01.950030Z
66,1,1,7.659,37.90733,-122.6865,4.6,3,3,2,2,0,0,0,0,1999-08-18T01:06:18.939965Z
67,1,1,7.94,37.54033,-118.8675,4.6,14,14,10,10,2,2,1,1,2007-06-12T07:23:43.130026Z
68,2,2,-1.619,38.662,-119.56267,4.6,31,31,17,17,6,6,6,6,1996-12-12T18:35:49.830031Z
69,3,3,5.77,38.76933,-122.91383,4.59,12,12,10,10,3,3,3,3,2000-01-11T14:19:52.089967Z
70,1,1,-1.38,36.3995,-117.82733,4.58,18,18,16,16,3,3,3,3,2009-05-23T22:58:32.399965Z
71,-1,-1,-0.23,35.94917,-117.8015,4.58,0,0,0,0,0,0,0,0,2019-07-06T05:58:18.969971Z
72,1,1,6.31,36.6305,-121.24433,4.58,22,22,14,14,0,0,0,0,2017-11-13T19:31:29.049970Z
73,1,1,2.551,38.83667,-122.76717,4.58,2,2,2,2,1,1,0,0,2004-02-18T20:37:46.419967Z
74,1,1,2.546,38.866659999999996,-122.78733000000001,4.56,3,3,2,2,0,0,0,0,2006-10-20T17:00:08.099969Z
75,-1,-1,6.004,37.635329999999996,-118.91783000000001,4.54,0,0,0,0,0,0,0,0,1997-11-22T12:06:55.979971Z
76,1,1,1.9,38.8135,-122.81617,4.53,6,6,3,3,4,4,2,2,2014-01-12T20:24:46.739988Z
77,-1,-1,5.445,37.97883,-118.65883999999998,4.52,1,1,1,1,0,0,0,0,2004-10-09T03:45:48.680002Z
78,1,1,4.271,35.73067,-121.075,4.51,21,21,15,15,8,8,6,6,2004-03-17T23:53:07.279980Z
79,-1,-1,10.841,39.16783,-123.16583,4.51,0,0,0,0,0,0,0,0,2012-09-25T15:15:09.889985Z
80,-1,-1,5.5489999999999995,37.635999999999996,-118.94866999999999,4.5,0,0,0,0,0,0,0,0,1997-11-22T18:10:59.460012Z
81,1,1,-1.6680000000000001,39.95984,-120.86883999999999,4.5,10,10,7,7,0,0,0,0,2008-12-26T12:19:40.020013Z
82,-1,-1,8.55,38.3635,-122.58867,4.5,0,0,0,0,0,0,0,0,2006-08-03T03:08:12.859980Z
83,1,1,-0.605,39.622170000000004,-120.06033000000001,4.5,5,5,5,5,0,0,0,0,1995-11-15T20:33:59.720030Z
84,1,1,7.6610000000000005,36.77117,-121.49633,4.5,4,4,4,4,1,1,1,1,2011-01-12T08:51:03.680036Z
85,-1,-1,7.8260000000000005,38.65383,-118.4905,4.5,0,0,0,0,1,1,1,1,1997-08-21T16:11:23.309980Z
86,1,1,9.476,35.92883,-120.477,4.48,4,4,3,3,2,2,2,2,2005-05-16T07:24:37.510017Z
87,-1,-1,8.14,36.41217,-117.88583,4.47,0,0,0,0,0,0,0,0,2009-10-03T01:10:26.119996Z
88,4,4,4.765,38.37233,-118.74667,4.46,4,4,4,4,0,0,0,0,2011-04-13T22:10:08.449996Z
89,1,1,1.65,38.79467,-122.7965,4.46,3,3,3,3,1,1,1,1,2007-04-24T21:08:28.530012Z
90,4,4,-1.26,36.1565,-117.87299999999999,4.46,17,17,14,14,9,9,8,8,2019-07-11T00:14:37.419994Z
91,1,1,13.97,37.938,-122.057,4.46,2,2,2,2,1,1,0,0,2019-10-15T05:33:42.809983Z
92,-1,-1,11.004000000000001,35.94983,-120.50283,4.45,0,0,0,0,0,0,0,0,2012-08-06T07:35:49.120014Z
93,2,2,1.3430000000000002,38.812329999999996,-122.78616000000001,4.44,8,8,6,6,9,9,8,8,2013-03-14T09:09:23.329986Z
94,-1,-1,6.02,35.54383,-120.84534,4.44,1,1,1,1,0,0,0,0,2003-12-25T11:50:01.819972Z
95,-1,-1,9.39,36.43333,-120.971,4.43,0,0,0,0,0,0,0,0,2015-01-20T13:21:36.970049Z
96,1,1,6.99,36.6255,-120.83366000000001,4.43,5,5,5,5,1,1,1,1,2014-09-28T20:45:13.260030Z
97,1,1,2.269,38.815329999999996,-122.82,4.43,5,5,5,5,1,1,1,1,2011-03-01T02:19:47.010000Z
98,-1,-1,7.468,39.4795,-123.80417,4.42,0,0,0,0,0,0,0,0,2012-07-08T12:05:48.510029Z
99,1,1,5.32,36.11033,-118.05117,4.41,9,9,9,9,1,1,1,1,2014-03-13T02:11:03.979997Z
