,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
1401,-999.0,-999.0,0,0,1402,-0.7,0.45999999999999996,-999.0,36.03,-119.89299999999999,3.1,2,2,0,0,2001-04-24T11:57:00.430043Z,12.12880107385862,-999.0
1402,-999.0,-999.0,0,0,1403,-0.1,-999.0,0.050000000000000266,33.24,-116.022,2.66,0,0,1,1,1986-01-13T22:01:21.800006Z,-999.0,inf
1403,-999.0,-999.0,2,2,1404,7.5,0.15000000000000036,0.6800000000000002,35.799,-118.044,4.25,18,18,4,4,2001-05-17T21:53:45.569982Z,0.9345229375872408,67.97797085462271
1404,-999.0,-999.0,0,0,1405,1.9,0.3500000000000001,0.2799999999999998,35.996,-117.87100000000001,2.96,1,1,1,1,1992-10-11T03:57:54.210013Z,inf,inf
1405,-999.0,-999.0,0,0,1406,25.1,1.1999999999999997,-999.0,34.56,-118.902,3.86,2,2,0,0,2000-10-12T16:51:19.190014Z,134.15107378132544,-999.0
1406,-999.0,-999.0,2,2,1407,14.3,0.040000000000000036,0.81,32.979,-115.552,3.82,4,4,6,6,2000-03-27T05:07:21.989972Z,2.1406867236142384,0.25121670004866176
1407,-999.0,-999.0,1,1,1408,8.2,2.31,0.9900000000000002,34.029,-116.321,5.0,1,1,7,30,1993-08-21T01:46:38.400036Z,inf,0.3569470046370359
1408,-999.0,-999.0,1,1,1409,-0.5,0.7800000000000002,1.4400000000000004,36.019,-117.882,4.24,11,11,2,2,2000-03-28T15:16:15.809986Z,2.638825795564916,1.324517423075738
1409,-999.0,-999.0,4,4,1410,1.7,0.44999999999999973,0.3799999999999999,34.935,-116.417,3.57,5,5,13,13,2000-09-16T06:28:08.799973Z,0.5706329234635616,0.2936806136559066
1410,-999.0,-999.0,0,0,1411,6.0,0.1499999999999999,-999.0,32.416,-115.31299999999999,2.76,1,1,0,0,2000-04-14T20:41:48.719971Z,inf,-999.0
1411,-999.0,-999.0,4,4,1412,-0.8,0.2599999999999998,0.41999999999999993,36.323,-118.053,3.34,4,4,5,5,2000-07-09T04:02:33.099971Z,45.92678819373201,2.6136835895712207
1412,-999.0,-999.0,0,0,1413,6.0,0.5500000000000007,0.23000000000000043,32.111,-115.119,4.73,24,24,10,10,2000-05-02T06:45:45.039969Z,1.5211704695942585,0.2628311761767464
1413,-999.0,-999.0,0,0,1414,12.4,-999.0,0.0,33.5,-116.506,2.61,0,0,1,1,2000-10-29T17:37:44.959987Z,-999.0,inf
1414,-999.0,-999.0,1,1,1415,-1.7,-999.0,0.45999999999999996,35.984,-118.355,3.69,0,0,6,6,1993-09-06T10:32:33.089996Z,-999.0,32.75090542264111
