,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
40,-999.0,-999,1,1,41,10.0,2.7,0.8999999999999995,3.0,-60.27,-46.4,7.8,1,1,5,5,2013-11-17T09:04:53.760004Z,inf,1.8975332069082467
41,-999.0,-999,1,1,42,31.0,0.5,2.0,3.0,2.38,97.05,7.8,2,2,1,1,2010-04-06T22:15:01.439998Z,0.8839388314264612,inf
42,-999.0,-999,0,0,43,33.0,-999.0,-999.0,3.0,-5.5,151.78,7.8,0,0,0,0,2000-11-17T21:01:52.320000Z,-999.0,-999.0
43,-999.0,-999,1,1,44,20.1,1.5,-999.0,0.0,-3.49,100.08,7.8,7,7,0,0,2010-10-25T14:42:25.920000Z,0.16862187748401783,-999.0
44,-999.0,-999,1,1,45,39.0,1.2000000000000002,2.0999999999999996,3.0,-10.47,112.98,7.8,21,21,1,1,1994-06-02T18:17:34.080000Z,0.4061094329554183,inf
45,-999.0,-999,1,1,46,33.0,2.0999999999999996,2.2,1.0,51.15,178.65,7.8,5,5,1,1,2003-11-17T06:43:03.359997Z,0.2409615329007774,inf
46,-999.0,-999,1,1,47,15.0,1.0,-999.0,3.0,26.97,65.52,7.8,4,4,0,0,2013-09-24T11:29:45.600004Z,0.16784155756928038,-999.0
47,0.8836761170239867,-999,3,3,48,35.0,0.39999999999999947,0.20000000000000018,3.0,-12.52,166.38,7.8,41,41,4,4,2009-10-07T22:18:54.720004Z,0.875623080569897,0.06808777194674087
48,-999.0,-999,1,1,49,10.0,2.2,-999.0,1.0,35.95,90.54,7.8,5,5,0,0,2001-11-14T09:26:12.480004Z,0.25962022753096153,-999.0
49,-999.0,-999,1,1,50,14.0,1.3999999999999995,-999.0,0.0,52.79,-132.1,7.8,13,13,0,0,2012-10-28T03:04:10.559997Z,0.8431867269442067,-999.0
50,-999.0,-999,1,1,51,33.0,1.6000000000000005,2.2,0.0,-14.99,-75.68,7.7,8,8,1,1,1996-11-12T16:59:39.840004Z,0.44692987111758903,inf
51,-999.0,-999,1,1,52,16.0,1.1000000000000005,1.9000000000000004,1.0,-5.81,154.21,7.7,16,16,2,2,1995-08-16T10:27:24.480003Z,0.2703570402663825,6.428801027576603
52,-999.0,-999,1,1,53,25.0,1.2000000000000002,2.3,0.0,15.66,121.23,7.7,10,10,2,2,1990-07-16T07:26:32.640000Z,1.406885296629709,0.0866378451437267
53,-999.0,-999,1,1,54,40.0,0.9000000000000004,2.6000000000000005,3.0,-22.25,-69.89,7.7,19,19,1,1,2007-11-14T15:40:53.759996Z,0.6154603643538131,inf
54,-999.0,-999,1,1,55,17.0,1.4000000000000004,-999.0,1.0,42.84,139.25,7.7,3,3,0,0,1993-07-12T13:17:11.039999Z,0.12455264840498047,-999.0
55,-999.0,-999,1,1,56,33.0,1.7999999999999998,2.1000000000000005,1.0,-2.07,124.89,7.7,3,3,3,3,1998-11-29T14:10:27.840000Z,0.05428960245536593,1.0667045939208422
56,-999.0,-999,1,1,57,33.0,1.2999999999999998,1.6000000000000005,3.0,-23.01,169.89,7.7,14,14,3,3,1995-05-16T20:12:46.079996Z,0.23687380717113604,0.1409549226160349
57,-999.0,-999,1,1,58,60.0,1.2000000000000002,-999.0,0.0,13.05,-88.66,7.7,12,12,0,0,2001-01-13T17:33:30.240005Z,0.36244687887971394,-999.0
58,-999.0,-999,2,2,59,17.0,0.2999999999999998,-999.0,1.0,-0.41,132.88,7.7,17,17,0,0,2009-01-03T19:43:49.439999Z,0.3496043301576253,-999.0
59,-999.0,-999,1,1,60,33.0,0.7000000000000002,2.5,1.0,40.45,143.49,7.7,20,20,1,1,1994-12-28T12:19:26.400000Z,0.35487608614229743,inf
60,-999.0,-999,1,1,61,34.0,1.6000000000000005,-999.0,0.0,-9.25,107.41,7.7,11,11,0,0,2006-07-17T08:19:32.160000Z,1.3508037282189387,-999.0
61,-999.0,-999,1,1,62,33.0,1.7999999999999998,2.2,3.0,-12.58,166.68,7.7,9,9,3,3,1997-04-21T12:02:26.880002Z,0.2825736810880244,0.3283676842415143
62,-999.0,-999,0,0,63,10.0,-999.0,-999.0,3.0,-20.57,-70.5,7.7,0,0,0,0,2014-04-03T02:43:09.119997Z,-999.0,-999.0
63,-999.0,-999,1,1,64,35.0,1.9000000000000004,1.6000000000000005,2.0,-8.51,121.89,7.7,4,4,1,1,1992-12-12T05:29:28.320003Z,0.10452734043259634,inf
