,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
39,949,50,2021,10.0,-60.27,-46.4,7.8,0,0,0,6,4,5,5,5,5,5,2013-11-17T09:04:53.760004Z,2013-11-17T09:04:53.760004Z,2013-11-17T09:04:52.000000,1,1,1,1,1
40,1175,25,314,49.0,19.15,-104.22,8.0,3,3,3,40,13,1,1,1,1,1,1995-10-09T15:36:00.000002Z,1995-10-09T15:36:00.000002Z,1995-10-09T15:36:00.000002,1,1,1,1,1
41,1185,60,443,33.0,-12.58,166.68,7.7,9,9,1,132,2,1,3,0,4,0,1997-04-21T12:02:26.880002Z,1997-04-21T12:02:26.880002Z,1997-04-21T12:02:25.000002,1,1,-1,5,-1
42,1099,99,1076,10.0,-8.15,124.87,7.5,8,8,7,20,9,1,1,1,1,1,2004-11-11T21:26:38.400001Z,2004-11-11T21:26:38.400001Z,2004-11-11T21:26:36.999999,1,1,1,1,1
43,1369,18,1323,10.0,-8.46,157.04,8.1,40,40,11,697,11,4,6,0,6,0,2007-04-01T20:39:59.039998Z,2007-04-01T20:39:59.039998Z,2007-04-01T20:39:58.000002,1,1,1,4,1
44,1376,2,1087,10.0,3.3,95.78,9.0,204,201,61,915,262,2,2,0,95,0,2004-12-26T00:58:53.760002Z,2004-12-26T00:58:53.760002Z,2004-12-26T00:58:52.000003,1,1,1,4,2
45,1322,19,1084,10.0,-49.31,161.35,8.1,2,2,2,48,9,0,1,0,0,0,2004-12-23T14:59:08.159997Z,2004-12-23T14:59:08.159997Z,2004-12-23T14:59:07.000001,-1,1,-1,0,1
46,275,123,1333,10.0,-60.93,-21.58,7.4,0,0,0,7,1,0,1,0,0,0,2006-01-02T06:10:47.999996Z,2006-01-02T06:10:47.999996Z,2006-01-02T06:10:46.000002,-1,-1,-1,1,-1
47,1184,37,332,33.0,0.72,119.98,7.9,6,6,6,120,19,0,1,0,0,0,1996-01-01T08:05:08.160000Z,1996-01-01T08:05:08.160000Z,1996-01-01T08:05:07.000000,1,1,1,4,1
48,1069,89,948,10.0,-60.53,-43.41,7.6,3,3,3,4,3,0,0,0,0,0,2003-08-04T04:37:20.639996Z,2003-08-04T04:37:20.639996Z,2003-08-04T04:37:18.999999,1,1,1,1,1
