,Cid_G,Cid_M,Cid_Z,Cid_Zb,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_Zb,N_AS_allG,N_AS_allZ,N_AS_allZb,N_FS_G,N_FS_M,N_FS_Z,N_FS_Zb,N_FS_allG,N_FS_allZ,N_FS_allZb,T0G,T0M,T0Z,T0Zb,c_typeG,c_typeM,c_typeZ,c_typeZb,c_typeallG,c_typeallZ,c_typeallZb
171,5848,188,4423,6764,28.0,-45.104,167.144,7.2,21,21,21,0,27,28,0,0,0,0,1,1,0,1,2003-08-21T12:12:49.789951Z,2003-08-21T12:12:49.789951Z,2003-08-21T12:12:47.999998,2003-08-21T04:02:08.000003,1,1,1,0,1,1,0
172,5015,102,7172,11859,28.0,10.811,126.63799999999999,7.6,64,79,78,35,79,102,36,0,3,0,4,1,0,13,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:32.000001,2012-08-31T12:47:32.000001,1,1,1,1,1,1,1
173,3711,40,4225,6552,4.0,63.513999999999996,-147.453,7.9,5,28,30,27,5,33,27,1,1,1,2,2,1,4,2002-11-03T22:12:41.517964Z,2002-11-03T22:12:41.517964Z,2002-11-03T22:12:39.999998,2002-11-03T22:12:39.999998,1,1,1,1,1,1,1
174,7447,7,5583,8707,34.0,-4.438,101.367,8.4,57,156,153,55,152,376,99,0,14,0,3,2,0,416,2007-09-12T11:10:26.829987Z,2007-09-12T11:10:26.829987Z,2007-09-12T11:10:24.999999,2007-09-12T11:10:24.999999,1,1,1,1,1,1,1
175,7367,90,8311,13593,38.0,-43.406000000000006,-73.941,7.6,1,4,4,4,1,5,4,0,0,0,0,0,0,0,2016-12-25T14:22:27.010018Z,2016-12-25T14:22:27.010018Z,2016-12-25T14:22:26.000000,2016-12-25T14:22:26.000000,0,1,1,1,0,1,1
176,4162,349,7911,11054,10.0,-35.364000000000004,-17.16,7.0,0,0,2,0,0,3,0,0,0,0,0,1,0,3,2015-06-17T12:51:32.790034Z,2015-06-17T12:51:32.790034Z,2015-06-17T12:51:30.999999,2015-06-17T12:51:30.999999,0,0,0,0,0,1,1
177,3997,185,2020,3043,0.0,34.2,-116.43700000000001,7.3,23,25,28,22,26,35,32,3,3,0,3,4,0,4,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:34.130021Z,1992-06-28T11:57:33.000000,1992-06-28T11:57:33.000000,1,1,1,1,1,1,2
178,7304,378,2751,4350,24.0,-2.75,-77.881,7.0,21,23,23,20,21,25,20,0,0,0,0,0,0,1,1995-10-03T01:51:23.900026Z,1995-10-03T01:51:23.900026Z,1995-10-03T01:51:22.000002,1995-10-03T01:51:22.000002,1,1,1,1,1,1,1
179,3837,373,5212,8193,13.0,-61.028999999999996,-34.371,7.0,5,5,5,5,6,10,8,0,0,0,1,0,0,1,2006-08-20T03:41:48.040017Z,2006-08-20T03:41:48.040017Z,2006-08-20T03:41:47.000004,2006-08-20T03:41:47.000004,1,1,1,1,1,1,1
180,874,311,7729,12695,16.0,-32.108000000000004,-110.811,7.0,7,10,11,10,7,12,10,0,0,0,0,0,0,0,2014-10-09T02:14:31.439966Z,2014-10-09T02:14:31.439966Z,2014-10-09T02:14:29.999999,2014-10-09T02:14:29.999999,2,2,2,2,2,2,2
