,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
71,2,1,8.82,8.9262,-84.1058,5.21,11,39,6,3,0,0,0,0,2018-10-09T01:48:03.999964Z
72,1,1,21.08,9.5061,-84.8538,5.23,18,23,3,2,0,0,0,0,2014-01-17T21:02:41.000002Z
73,1,1,17.47,8.9932,-83.965,5.33,7,8,3,3,0,0,0,0,2017-08-27T10:38:56.000030Z
74,1,1,34.73,9.2587,-84.1327,5.37,10,15,1,1,0,0,0,0,2019-09-18T11:23:24.999967Z
75,5,5,31.76,8.9302,-84.2377,5.13,18,18,8,8,12,12,4,4,2016-01-16T16:57:59.999970Z
76,4,4,12.84,10.6577,-84.9625,4.73,20,20,10,10,13,13,9,9,2018-01-11T17:03:17.000001Z
77,2,2,11.48,8.9644,-84.0972,5.79,129,208,9,6,24,24,7,7,2020-01-21T11:25:33.000017Z
78,1,1,23.2,9.502,-84.6671,6.01,44,221,4,1,0,0,0,0,2020-08-24T21:51:07.999985Z
79,1,1,40.24,8.3224,-82.8194,6.94,474,1992,15,3,72,285,8,1,2019-06-26T05:23:46.999998Z
80,1,1,17.28,9.454,-84.5457,5.24,233,241,42,39,0,0,0,0,2017-11-13T02:32:30.000018Z
