,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
45,1,1,6.605,36.602,-121.20100000000001,4.9,35,39,12,10,1,1,1,1,1995-04-23T08:41:36.649970Z
46,1,1,2.269,38.815329999999996,-122.82,4.43,12,13,11,10,2,2,2,2,2011-03-01T02:19:47.010000Z
47,1,1,8.619,36.309670000000004,-120.85600000000001,5.29,12,15,2,1,0,0,0,0,2012-10-21T06:55:09.510011Z
48,1,1,7.94,37.54033,-118.8675,4.6,14,17,13,10,1,1,1,1,2007-06-12T07:23:43.130026Z
49,5,5,-1.212,36.39267,-117.85067,5.13,96,104,17,16,33,33,13,13,2009-10-03T01:15:59.740044Z
50,3,3,7.01,38.37567,-118.90333999999999,5.79,74,92,3,3,1,1,1,1,2016-12-28T08:22:12.620003Z
51,1,1,10.1,36.6455,-121.274,4.71,11,14,8,7,1,1,1,1,2019-10-15T19:42:30.540035Z
52,4,4,4.33,36.111999999999995,-117.89716000000001,4.64,153,158,92,90,163,163,125,125,2019-07-18T03:59:14.720037Z
53,2,2,1.3430000000000002,38.812329999999996,-122.78616000000001,4.44,15,18,14,13,3,3,3,3,2013-03-14T09:09:23.329986Z
54,2,2,4.5569999999999995,37.5885,-118.79567,4.9,152,191,74,58,2,2,1,1,1998-06-09T05:24:40.160019Z
55,3,3,5.77,38.76933,-122.91383,4.59,12,12,10,10,2,2,2,2,2000-01-11T14:19:52.089967Z
56,1,1,2.9339999999999997,37.52967,-118.81716999999999,5.5,251,307,19,16,4,4,0,0,1999-05-15T13:22:10.659999Z
57,1,1,5.345,36.885329999999996,-121.61333,4.9,7,8,2,2,1,1,1,1,1996-04-19T00:52:41.440014Z
58,1,1,-0.2,37.319,-118.8675,6.33,42,288,0,0,1,1,0,0,1995-08-06T18:38:35.739974Z
59,3,3,3.659,38.7215,-119.635,4.86,128,145,40,33,0,0,0,0,1995-12-22T09:00:34.560002Z
60,4,4,4.574,37.63583,-118.94483000000001,4.88,211,245,93,81,167,167,59,59,1997-11-30T21:17:05.440042Z
61,1,1,7.182,37.87867,-118.166,5.3,76,83,13,12,4,4,1,1,1997-11-02T08:51:52.780032Z
62,1,1,10.07,35.0265,-119.03017,5.0,17,19,8,8,1,1,1,1,2005-09-22T20:24:48.309955Z
63,2,2,3.355,38.0095,-118.6785,5.4,128,149,14,13,9,9,3,3,2004-09-18T23:02:17.750001Z
64,1,1,8.136000000000001,35.81816,-120.366,5.97,108,142,8,6,0,0,0,0,2004-09-28T17:15:24.249969Z
65,1,1,6.575,36.64017,-121.251,4.6,12,12,8,8,0,0,0,0,2001-12-28T21:14:01.950030Z
66,1,1,5.011,39.81116,-120.61667,5.2,7,8,1,1,0,0,0,0,2001-08-10T20:19:27.059988Z
67,2,2,7.1579999999999995,36.01266,-117.86633,5.2,184,194,27,25,25,25,5,5,2001-07-17T12:07:25.829970Z
68,1,1,8.382,35.7005,-121.1005,6.5,918,1231,3,2,0,0,0,0,2003-12-22T19:15:56.239982Z
