,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
71,2462,156,778,18.0,36.957,49.409,7.4,6,6,6,8,9,0,0,0,0,0,1990-06-20T21:00:09.979980Z,1990-06-20T21:00:09.979980Z,1990-06-20T21:00:07.999999,1,1,1,1,1
72,1843,214,4597,16.0,-22.476999999999997,173.11700000000002,7.2,12,12,11,14,13,0,0,0,1,0,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:36.280033Z,2016-08-12T01:26:34.999998,1,1,1,1,1
73,2326,62,1722,33.0,54.841,162.035,7.8,64,64,64,135,72,0,3,3,0,3,1997-12-05T11:26:54.689998Z,1997-12-05T11:26:54.689998Z,1997-12-05T11:26:52.999999,1,1,1,1,1
74,2216,107,1917,17.0,40.748000000000005,29.864,7.6,7,7,8,22,16,0,1,0,0,0,1999-08-17T00:01:39.129999Z,1999-08-17T00:01:39.129999Z,1999-08-17T00:01:38.000002,1,1,1,2,2
75,2388,109,319,62.0,-24.388,-70.161,7.6,9,9,9,56,35,0,0,0,0,0,1987-03-05T09:17:05.280035Z,1987-03-05T09:17:05.280035Z,1987-03-05T09:17:03.999997,1,1,1,5,5
76,1992,75,4606,10.0,54.443000000000005,168.857,7.7,15,15,14,50,16,4,4,2,8,5,2017-07-17T23:34:13.739980Z,2017-07-17T23:34:13.739980Z,2017-07-17T23:34:12.000000,1,1,1,2,1
77,2649,111,2753,26.0,34.539,73.58800000000001,7.6,44,44,44,51,49,0,0,0,0,0,2005-10-08T03:50:40.799962Z,2005-10-08T03:50:40.799962Z,2005-10-08T03:50:39.000003,1,1,1,1,1
78,2370,180,2369,33.0,-10.491,160.77,7.3,2,2,1,39,2,2,2,0,22,0,2003-01-20T08:43:06.070004Z,2003-01-20T08:43:06.070004Z,2003-01-20T08:43:04.999998,1,1,-1,4,-1
79,1482,140,2588,10.0,33.184,137.071,7.4,7,7,7,9,7,3,3,3,3,3,2004-09-05T14:57:18.609988Z,2004-09-05T14:57:18.609988Z,2004-09-05T14:57:16.999996,2,2,2,2,2
80,1119,115,1710,33.0,35.069,87.325,7.5,1,1,1,3,2,0,0,0,0,0,1997-11-08T10:02:52.610034Z,1997-11-08T10:02:52.610034Z,1997-11-08T10:02:51.000003,-1,-1,-1,1,-1
81,2707,2,2634,30.0,3.295,95.98200000000001,9.1,483,479,471,2273,978,5,6,0,203,0,2004-12-26T00:58:53.449996Z,2004-12-26T00:58:53.449996Z,2004-12-26T00:58:52.000003,1,1,1,1,1
82,2638,18,2632,10.0,-49.312,161.345,8.1,6,6,6,91,13,1,1,0,1,0,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:04.409988Z,2004-12-23T14:59:02.999997,1,1,1,5,1
83,2485,77,260,29.0,-28.116999999999997,-176.36700000000002,7.7,89,89,80,213,94,1,3,0,1,0,1986-10-20T06:46:09.980027Z,1986-10-20T06:46:09.980027Z,1986-10-20T06:46:08.000002,1,1,1,1,1
84,2365,31,1538,33.0,51.56399999999999,-177.632,7.9,38,38,37,142,68,4,4,2,13,2,1996-06-10T04:03:35.479989Z,1996-06-10T04:03:35.479989Z,1996-06-10T04:03:33.999998,1,1,1,1,1
85,2695,130,2963,22.0,1.065,126.28200000000001,7.5,65,63,54,265,78,1,4,0,9,0,2007-01-21T11:27:45.059982Z,2007-01-21T11:27:45.059982Z,2007-01-21T11:27:44.000003,1,1,1,5,1
86,1595,207,3645,9.0,32.286,-115.295,7.2,6,6,7,10,10,0,0,0,0,0,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:42.359984Z,2010-04-04T22:40:40.999998,1,1,1,1,1
87,2705,85,1073,44.0,11.742,-87.34,7.7,23,23,24,55,45,2,3,2,3,3,1992-09-02T00:16:01.689966Z,1992-09-02T00:16:01.689966Z,1992-09-02T00:15:59.999996,1,1,1,1,1
88,2008,137,4100,24.0,13.988,-91.895,7.4,11,11,13,45,27,0,2,0,2,0,2012-11-07T16:35:46.930043Z,2012-11-07T16:35:46.930043Z,2012-11-07T16:35:44.999999,1,1,1,1,1
89,2540,163,1419,21.0,-15.199000000000002,-173.52900000000002,7.4,10,10,10,51,19,0,0,0,21,0,1995-04-07T22:06:56.889970Z,1995-04-07T22:06:56.889970Z,1995-04-07T22:06:54.999999,1,1,1,1,1
90,2230,57,1320,18.0,-10.477,112.835,7.8,91,91,91,102,98,3,5,0,3,0,1994-06-02T18:17:34.020032Z,1994-06-02T18:17:34.020032Z,1994-06-02T18:17:32.999999,1,1,1,1,1
91,1962,69,4207,15.0,26.951,65.501,7.7,9,9,9,21,16,0,0,0,0,0,2013-09-24T11:29:47.970038Z,2013-09-24T11:29:47.970038Z,2013-09-24T11:29:46.000002,1,1,1,1,1
