,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
57,1,1,49.0,0.0,19.15,-104.22,8.0,3,40,12,0,1,1,0,0,1995-10-09T15:36:00.000002Z
58,1,1,60.0,1.0,13.05,-88.66,7.7,12,51,19,4,0,0,0,0,2001-01-13T17:33:30.240005Z
59,1,-1,60.6,3.0,16.06,-96.93,7.4,0,8,4,0,0,0,0,0,1999-09-30T16:31:17.759999Z
60,2,1,31.0,1.0,6.03,124.25,7.5,6,23,12,4,0,8,6,0,2002-03-05T21:16:07.679996Z
61,4,1,33.0,2.0,0.72,119.98,7.9,6,120,29,1,0,0,0,0,1996-01-01T08:05:08.160000Z
62,5,1,33.0,3.0,-12.58,166.68,7.7,9,132,54,3,1,4,2,0,1997-04-21T12:02:26.880002Z
63,1,1,33.0,3.0,54.84,162.04,7.8,20,60,14,4,0,0,0,0,1997-12-05T11:26:52.800006Z
64,0,-1,21.0,2.0,16.84,-98.6,7.3,1,15,13,1,0,0,0,0,1995-09-14T14:04:33.599998Z
65,1,-1,4.9,3.0,63.52,-147.44,7.9,1,4,0,0,1,1,1,1,2002-11-03T22:12:43.200001Z
66,1,-1,30.0,0.0,1.27,122.09,7.3,0,6,3,0,0,0,0,0,2008-11-16T17:02:32.640002Z
67,2,2,17.0,0.0,-0.41,132.88,7.7,13,31,12,4,0,0,0,0,2009-01-03T19:43:49.439999Z
68,1,-1,6.0,0.0,32.3,-115.27,7.2,1,5,5,1,0,1,1,0,2010-04-04T22:40:39.360000Z
69,5,3,35.0,2.0,-5.93,150.59,7.3,10,46,37,8,2,2,2,2,2010-07-18T13:35:02.399999Z
70,1,1,5.0,0.0,34.18,-116.51,7.3,4,10,8,4,0,1,1,0,1992-06-28T11:57:33.119998Z
71,5,1,50.0,0.0,-6.06,147.59,7.2,3,23,23,3,0,2,2,0,1992-05-15T07:05:05.280004Z
72,1,1,22.0,3.0,60.95,167.09,7.6,9,11,5,5,0,0,0,0,2006-04-20T23:25:00.479996Z
73,1,1,33.0,3.0,51.56,-177.63,7.9,10,75,16,2,4,9,4,1,1996-06-10T04:03:38.880000Z
74,1,1,10.0,3.0,11.76,-87.42,7.6,11,33,23,7,2,2,1,1,1992-09-02T00:15:59.040000Z
75,1,1,26.0,3.0,34.54,73.59,7.6,14,17,5,5,0,0,0,0,2005-10-08T03:50:41.280004Z
76,1,1,33.0,3.0,-0.95,137.03,8.2,14,166,23,4,0,0,0,0,1996-02-17T05:59:25.439998Z
77,4,3,33.0,2.0,-3.98,152.17,8.0,52,248,55,12,2,137,35,1,2000-11-16T04:54:54.719996Z
78,1,1,35.0,2.0,-8.51,121.89,7.7,4,17,5,1,1,1,1,1,1992-12-12T05:29:28.320003Z
79,0,-1,10.0,1.0,-49.31,161.35,8.1,2,48,5,0,0,0,0,0,2004-12-23T14:59:08.159997Z
80,1,-1,33.0,2.0,-6.51,130.39,7.2,0,5,5,0,0,0,0,0,1992-12-20T20:52:39.360004Z
81,0,1,18.0,3.0,-15.49,-172.1,8.1,28,245,16,4,3,93,8,1,2009-09-29T17:48:11.519997Z
82,3,2,33.0,1.0,7.17,126.86,7.2,2,13,13,2,1,1,1,1,1992-05-17T10:15:27.360004Z
83,1,1,33.0,3.0,-16.62,167.51,7.2,11,24,24,11,1,4,4,1,1994-07-13T02:35:57.119997Z
84,1,1,39.0,0.0,-10.47,112.98,7.8,19,23,5,5,0,0,0,0,1994-06-02T18:17:34.080000Z
85,1,1,19.0,2.0,31.0,103.32,7.9,11,26,5,2,0,0,0,0,2008-05-12T06:28:04.800005Z
86,4,5,10.0,3.0,-22.01,169.77,7.3,19,203,170,18,7,7,7,7,2003-12-27T16:01:03.360003Z
87,1,1,33.0,1.0,-23.01,169.89,7.7,12,51,16,5,2,18,12,2,1995-05-16T20:12:46.079996Z
88,4,1,10.0,3.0,-8.46,157.04,8.1,40,697,106,5,4,6,1,0,2007-04-01T20:39:59.039998Z
89,1,1,34.0,1.0,14.73,-92.68,7.2,7,16,16,7,5,5,5,5,1993-09-10T19:12:51.839996Z
90,5,1,44.8,1.0,-35.85,-72.71,8.8,74,408,11,3,1,188,7,0,2010-02-27T06:34:16.319997Z
91,1,1,24.4,2.0,38.32,142.37,9.1,168,763,6,3,15,566,15,1,2011-03-11T05:46:19.199996Z
92,1,1,22.0,0.0,1.07,126.28,7.5,26,66,32,12,0,0,0,0,2007-01-21T11:27:44.639999Z
93,1,1,61.0,0.0,12.96,144.78,7.7,6,26,7,2,0,0,0,0,1993-08-08T08:34:22.079997Z
94,1,1,33.0,3.0,1.17,122.76,7.5,4,23,9,1,1,1,1,1,1991-06-20T05:18:48.960003Z
95,4,1,10.0,1.0,3.3,95.78,9.0,204,915,19,1,2,95,3,0,2004-12-26T00:58:53.760002Z
96,1,1,33.0,3.0,51.15,178.65,7.8,5,81,23,1,1,8,5,0,2003-11-17T06:43:03.359997Z
