,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
61,5.9,52.3216,-166.666,10.0,2017-05-24T16:36:02.879997Z,1,3,1,3,1,1,0,1,0,1
62,5.9,51.2882,-178.1295,29.08,2018-08-17T04:35:28.319995Z,0,0,0,0,-1,-1,0,0,0,0
63,5.9,54.3371,-159.8425,20.77,2020-10-19T21:45:21.600004Z,0,0,0,0,-1,-1,0,0,0,0
64,5.9,55.3726,-157.205,0.8,2021-07-29T06:23:28.320002Z,0,0,0,0,-1,-1,0,0,0,0
65,5.8,52.175,-168.6554,16.0,2016-03-27T18:01:26.400004Z,1,34,1,34,2,2,17,0,17,0
66,5.8,51.1433,-171.0499,15.0,2020-08-16T20:05:51.359997Z,0,0,0,0,-1,-1,0,0,0,0
67,5.8,51.4884,-174.8132,25.6,2013-09-04T06:16:50.880003Z,0,0,0,0,-1,-1,0,0,0,0
68,5.8,61.2727,-150.8181,68.4,2012-12-04T01:42:48.960001Z,0,10,0,10,1,1,1,0,1,0
69,5.8,51.5815,-173.3339,13.0,2015-11-02T08:15:30.239999Z,0,0,0,0,-1,-1,0,0,0,0
70,5.8,51.8991,-171.7528,51.8,2011-06-28T06:48:31.680003Z,0,0,0,0,-1,-1,0,0,0,0
71,5.8,52.1345,-171.8311,49.0,2011-10-25T03:24:46.080000Z,0,9,0,9,4,4,0,0,0,0
72,5.8,53.6236,-163.2767,17.22,2016-10-27T11:53:13.919996Z,2,26,2,26,1,1,6,0,6,0
73,5.8,51.1263,-179.8182,26.79,2020-01-26T09:12:05.760004Z,0,0,0,0,-1,-1,0,0,0,0
74,5.8,51.4419,-173.5538,35.4,2010-03-09T14:06:51.840004Z,1,7,1,7,1,1,5,1,5,1
75,5.8,54.443,-160.7975,21.39,2018-07-19T14:16:30.719997Z,3,13,3,13,0,0,6,1,6,1
76,5.8,55.0404,-160.4924,43.3,2011-05-05T16:57:38.879998Z,2,18,2,18,2,2,5,1,5,1
77,5.8,52.3084,-170.1395,35.0,2019-10-26T00:41:28.319997Z,5,1,5,1,1,1,0,2,0,2
78,5.8,51.9494,-171.7005,33.3,2011-06-27T23:27:36.000003Z,0,0,0,0,-1,-1,0,0,0,0
79,5.8,51.487,-178.8839,32.0,2013-11-13T03:57:44.639999Z,0,18,0,18,2,2,4,0,4,0
80,5.8,55.2233,-159.3719,36.71,2020-07-22T08:13:29.280003Z,0,0,0,0,-1,-1,0,0,0,0
81,5.7,54.5073,-159.729,26.24,2020-10-19T21:06:20.159998Z,0,0,0,0,-1,-1,0,0,0,0
82,5.7,51.5345,-172.9785,20.0,2015-11-08T11:33:12.960004Z,0,0,0,0,-1,-1,0,0,0,0
83,5.7,61.2822,-149.9571,40.8,2018-11-30T17:35:39.839996Z,0,0,0,0,-1,-1,0,0,0,0
84,5.7,54.5307,-161.1918,28.8,2010-04-16T01:45:15.840003Z,1,3,1,3,1,1,0,0,0,0
85,5.7,52.701,-169.3827,15.4,2010-07-19T08:20:32.639998Z,0,0,0,0,-1,-1,0,0,0,0
86,5.7,58.8565,-152.3581,64.0,2019-05-27T09:52:24.959999Z,0,1,0,1,-1,-1,0,0,0,0
87,5.7,52.1451,-171.5203,43.7,2011-08-01T18:20:09.599997Z,0,0,0,0,-1,-1,0,0,0,0
88,5.7,54.4386,-159.6143,22.74,2020-10-19T21:05:54.240002Z,0,0,0,0,-1,-1,0,0,0,0
89,5.7,57.0497,-139.545,9.45,2019-09-10T20:32:12.479996Z,0,1,0,1,-1,-1,0,0,0,0
90,5.7,51.4444,-175.2638,33.3,2010-10-08T04:19:20.640000Z,0,0,0,0,-1,-1,0,0,0,0
91,5.7,52.7184,-168.2558,36.99,2020-10-08T14:22:42.239999Z,2,0,2,0,-1,-1,0,0,0,0
92,5.7,55.3979,-158.5143,37.54,2016-05-31T20:51:21.599996Z,0,23,0,23,1,1,3,0,3,0
93,5.7,51.5386,-166.955,11.8,2013-07-03T03:40:27.840000Z,0,6,0,6,1,1,3,0,3,0
94,5.7,55.081,-160.563,40.9,2011-05-05T14:13:03.359997Z,0,0,0,0,-1,-1,0,0,0,0
95,5.7,54.8916,-161.2752,48.8,2011-07-23T06:28:30.720001Z,0,0,0,0,-1,-1,0,0,0,0
96,5.7,55.0849,-158.2212,48.4,2020-08-09T14:57:59.040004Z,0,0,0,0,-1,-1,0,0,0,0
97,5.7,50.4167,-173.2667,16.3,2015-03-07T13:18:20.160002Z,0,4,0,4,1,1,1,0,1,0
98,5.7,52.207,-169.3701,15.6,2015-07-27T04:55:46.559998Z,0,0,0,0,-1,-1,0,0,0,0
99,5.7,54.1842,-162.6842,31.5,2011-11-06T08:08:09.600003Z,1,21,1,21,1,1,2,0,2,0
100,5.7,53.6935,-150.59,10.0,2020-12-01T16:35:45.599996Z,0,0,0,0,-1,-1,0,0,0,0
101,5.7,51.4301,-174.5612,28.6,2013-09-05T05:43:43.679999Z,0,0,0,0,-1,-1,0,0,0,0
102,5.7,51.1334,-179.8506,24.44,2020-03-02T00:31:14.880003Z,0,4,0,4,1,1,1,0,1,0
103,5.7,59.0281,-136.7789,12.9,2014-06-04T11:58:59.520002Z,1,9,1,9,1,1,0,0,0,0
104,5.7,55.2549,-156.7677,2.9,2021-07-29T06:32:32.640002Z,0,0,0,0,-1,-1,0,0,0,0
