,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
97,1,1,35.0,3.0,7.88,91.94,7.5,4,4,1,1,1,1,0,0,2010-06-12T19:26:49.920001Z
98,1,1,10.0,0.0,-8.15,124.87,7.5,8,8,0,0,1,1,1,1,2004-11-11T21:26:38.400001Z
99,1,1,10.0,1.0,-21.95,169.43,7.5,11,11,4,4,12,12,7,7,2018-12-05T04:18:11.519997Z
100,1,1,33.0,2.0,1.17,122.76,7.5,4,4,1,1,2,2,1,1,1991-06-20T05:18:48.960003Z
101,-1,-1,41.0,1.0,-4.73,152.56,7.5,0,0,0,0,0,0,0,0,2015-03-29T23:48:28.800007Z
102,-1,-1,33.0,3.0,-9.62,-79.57,7.5,0,0,0,0,1,1,1,1,1996-02-21T12:51:07.200000Z
103,1,1,20.0,1.0,16.5,-98.22,7.5,3,3,1,1,0,0,0,0,2012-03-20T18:02:44.160003Z
104,-1,-1,10.0,0.0,-2.6,68.38,7.5,2,2,1,1,0,0,0,0,2003-07-15T20:27:53.280004Z
105,1,1,10.0,3.0,-55.28,-31.88,7.5,11,11,4,4,0,0,0,0,2016-08-19T07:32:26.880002Z
106,-1,-1,4.7,0.0,14.1,92.89,7.5,1,1,1,1,0,0,0,0,2009-08-10T19:55:37.920003Z
107,2,2,43.4,0.0,-6.76,155.02,7.5,18,18,7,7,13,13,10,10,2014-04-19T13:27:59.040004Z
108,1,1,22.0,0.0,1.07,126.28,7.5,25,25,12,12,1,1,1,1,2007-01-21T11:27:44.639999Z
109,1,1,26.0,1.0,-1.11,123.57,7.5,3,3,3,3,0,0,0,0,2000-05-04T04:21:12.960000Z
110,1,1,10.0,0.0,-1.76,134.3,7.5,3,3,2,2,7,7,4,4,2002-10-10T10:50:18.240003Z
111,1,1,36.0,1.0,46.86,155.15,7.4,0,0,0,0,3,3,2,2,2009-01-15T17:49:37.920001Z
112,-1,-1,41.7,1.0,-37.77,-75.05,7.4,0,0,0,0,0,0,0,0,2010-02-27T08:01:23.519999Z
113,2,2,10.0,0.0,33.18,137.07,7.4,6,6,6,6,1,1,1,1,2004-09-05T14:57:15.839997Z
114,-1,-1,23.0,2.0,-0.69,133.3,7.4,0,0,0,0,0,0,0,0,2009-01-03T22:33:35.999995Z
115,1,1,14.0,2.0,26.9,143.7,7.4,7,7,5,5,0,0,0,0,2010-12-21T17:19:40.800006Z
116,-1,-1,33.0,2.0,-16.42,168.21,7.4,2,2,1,1,0,0,0,0,1999-11-26T13:21:12.960000Z
117,1,1,19.0,0.0,34.91,45.96,7.4,5,5,3,3,0,0,0,0,2017-11-12T18:18:17.279997Z
118,1,1,33.0,3.0,-4.1,123.91,7.4,3,3,2,2,0,0,0,0,2001-10-19T03:28:48.000002Z
