,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
11,-999.0,-999,1,-1,612,10.0,1.5,-999.0,1.0,28.82,34.86,7.2,2,3,3,2,0,0,0,0,1995-11-22T04:15:10.080003Z,2.419257288082896,-999.0
12,-999.0,-999,2,1,631,33.0,1.7000000000000002,1.7000000000000002,2.0,-9.05,158.49,7.2,2,11,11,2,1,2,2,1,1991-10-14T15:58:10.560005Z,0.06965316207951315,inf
13,-999.0,-999,1,1,745,19.0,1.9000000000000004,-999.0,1.0,34.91,45.96,7.4,5,11,7,3,0,0,0,0,2017-11-12T18:18:17.279997Z,0.16263547535072792,-999.0
14,-999.0,-999,1,1,769,16.0,1.8999999999999995,-999.0,3.0,23.42,70.23,7.6,3,3,1,1,0,0,0,0,2001-01-26T03:16:42.239997Z,0.13448693235289336,-999.0
15,-999.0,-999,5,1,818,15.0,0.6000000000000005,1.7999999999999998,3.0,40.37,-124.32,7.2,3,8,8,3,1,2,2,1,1992-04-25T18:06:02.879997Z,0.07391565730721403,inf
16,-999.0,-999,-1,-1,831,21.0,2.0,-999.0,2.0,4.56,-77.49,7.2,1,1,1,1,0,0,0,0,1991-11-19T22:28:50.879997Z,inf,-999.0
17,-999.0,-999,1,1,847,10.0,1.3999999999999995,-999.0,3.0,9.68,-83.08,7.6,4,12,6,3,0,0,0,0,1991-04-22T21:56:52.799996Z,0.12129519003933353,-999.0
18,-999.0,-999,1,1,871,16.4,1.7000000000000002,-999.0,3.0,-22.48,173.12,7.2,4,5,5,4,0,1,1,0,2016-08-12T01:26:32.640000Z,0.24874384358993165,-999.0
19,-999.0,-999,1,1,890,20.0,1.4000000000000004,-999.0,0.0,16.5,-98.22,7.5,3,16,7,1,0,0,0,0,2012-03-20T18:02:44.160003Z,0.2610852443306239,-999.0
20,-999.0,-999,1,1,901,20.0,2.1999999999999993,1.5,3.0,-0.25,119.84,7.6,3,4,0,0,2,3,2,1,2018-09-28T10:02:47.039998Z,3.09501702260314,33.89830507992996
21,-999.0,-999,1,-1,909,11.0,-999.0,-999.0,1.0,-60.86,-25.07,7.3,0,6,5,0,0,0,0,0,2013-07-15T14:03:41.759995Z,-999.0,-999.0
22,-999.0,-999,1,-1,913,24.0,0.7999999999999998,-999.0,3.0,17.4,-100.96,7.3,2,4,3,2,0,0,0,0,2014-04-18T14:27:27.359998Z,1.2436264146119391,-999.0
23,-999.0,-999,1,1,924,14.1,2.4000000000000004,-999.0,1.0,56.0,-149.17,7.9,3,8,1,0,0,0,0,0,2018-01-23T09:31:40.800000Z,1.4457134595808891,-999.0
24,-999.0,-999,1,1,946,25.2,0.7999999999999998,-999.0,3.0,-6.07,142.75,7.5,15,16,11,10,0,0,0,0,2018-02-25T17:44:44.159997Z,0.37603409375770236,-999.0
25,-999.0,-999,1,1,948,15.0,1.0,-999.0,2.0,26.97,65.52,7.8,4,13,3,2,0,0,0,0,2013-09-24T11:29:45.600004Z,0.16784155756928038,-999.0
26,-999.0,-999,1,1,949,10.0,-999.0,0.8999999999999995,0.0,-60.27,-46.4,7.8,0,6,1,0,5,5,2,2,2013-11-17T09:04:53.760004Z,-999.0,1.8975332069082467
27,-999.0,-999,1,1,950,15.0,0.7000000000000002,-999.0,0.0,28.15,84.71,7.9,8,15,4,4,0,0,0,0,2015-04-25T06:11:22.559997Z,0.3773478109113335,-999.0
28,-999.0,-999,2,1,954,14.0,1.3999999999999995,-999.0,0.0,52.79,-132.1,7.8,11,27,9,3,0,0,0,0,2012-10-28T03:04:10.559997Z,0.7134656920297133,-999.0
29,-999.0,-999,1,1,962,28.0,2.0,-999.0,0.0,10.81,126.64,7.6,18,58,9,1,0,6,4,0,2012-08-31T12:47:31.199995Z,0.31507861211406346,-999.0
30,-999.0,-999,2,1,969,52.0,1.5,-999.0,2.0,52.07,-171.84,7.3,6,15,11,5,0,0,0,0,2011-06-24T03:09:38.880002Z,0.17248119954933502,-999.0
31,-999.0,-999,1,1,978,15.2,1.3999999999999995,-999.0,2.0,-42.74,173.05,7.8,13,13,1,1,0,0,0,0,2016-11-13T11:02:58.559998Z,0.24687278645300448,-999.0
