,MAG,Time,Lat,Lon,Depth,clID,eType
6497,3.0,2016-08-28T06:13:10.479991Z,42.6257,13.3113,8.2,283,-1.0
6498,3.0,2016-12-17T08:47:45.319978Z,42.811,13.1407,9.0,283,1.0
6499,3.0,1991-11-01T13:17:44.920030Z,44.901,9.9905,8.9,0,0.0
6500,3.0,2016-12-14T07:46:08.559985Z,42.8268,13.2192,10.6,283,1.0
6501,3.0,2016-12-12T21:48:15.070034Z,42.776,13.2243,10.4,283,1.0
6502,3.0,2018-01-06T05:20:18.699961Z,43.0352,13.0063,7.9,283,1.0
6503,3.0,2016-12-10T06:58:25.429960Z,43.0078,13.1178,8.3,283,1.0
6504,3.0,2017-11-28T17:20:02.920043Z,44.6812,10.0448,22.9,209,1.0
6505,3.0,2016-12-10T05:38:50.850014Z,43.0172,13.0612,8.3,283,1.0
6506,3.0,2016-12-09T21:44:32.320036Z,43.0142,13.0642,7.7,283,1.0
6507,3.0,2016-12-04T04:33:52.689977Z,43.0122,13.0633,7.9,283,1.0
6508,3.0,2018-03-22T14:35:32.950031Z,43.063,13.0293,8.0,283,1.0
6509,3.0,2016-12-02T15:45:45.170002Z,43.0085,13.1407,8.3,283,1.0
6510,3.0,2016-12-26T18:39:40.069961Z,42.5585,13.272,10.5,283,1.0
6511,3.0,2016-11-21T19:03:48.279970Z,37.7402,14.965,23.5,0,0.0
6512,3.0,2018-04-10T13:15:47.120025Z,43.0733,13.0493,8.2,283,1.0
6513,3.0,2018-04-18T11:38:48.549956Z,42.7738,12.6053,4.9,283,1.0
6514,3.0,1993-10-03T19:30:19.539966Z,42.7708,12.7787,3.0,0,0.0
6515,3.0,1993-10-10T12:16:38.649995Z,44.132,12.1913,15.5,0,0.0
6516,3.0,2018-04-18T12:41:24.050025Z,42.7663,12.601,6.9,283,1.0
6517,3.0,1991-09-30T05:49:13.370043Z,37.8918,16.0477,10.0,0,0.0
6518,3.0,2017-01-07T01:16:30.879987Z,42.4947,13.3867,17.0,283,1.0
6519,3.0,1993-06-25T12:40:50.439998Z,38.0145,14.1562,4.5,0,0.0
6520,3.0,1993-10-15T03:00:21.060004Z,44.1387,12.173,10.0,0,0.0
6521,3.0,2016-11-21T06:28:13.349968Z,42.9407,13.2068,7.5,283,1.0
6522,3.0,2017-01-08T09:43:48.120034Z,38.9803,15.9535,58.2,0,0.0
6523,3.0,2016-11-21T06:25:03.049995Z,42.8078,13.1498,10.3,283,1.0
6524,3.0,1993-06-19T23:59:39.330006Z,37.9998,14.145,3.6,0,0.0
6525,3.0,1993-10-23T21:35:53.600007Z,42.8053,13.3777,5.2,0,0.0
6526,3.0,2016-11-21T03:43:06.880024Z,42.9807,13.0425,6.7,283,1.0
6527,3.0,2016-11-21T03:05:11.510018Z,44.4512,9.7902,5.4,0,0.0
6528,3.0,1993-11-06T15:12:49.689991Z,44.7103,10.0495,10.8,0,0.0
6529,3.0,1993-11-07T01:27:53.810039Z,40.0452,15.991,4.2,0,0.0
6530,3.0,2016-11-22T01:28:13.360023Z,42.6275,13.43,9.4,283,1.0
6531,3.0,2016-11-22T08:45:24.830034Z,43.0073,13.1342,8.3,283,1.0
6532,3.0,2017-11-19T12:39:50.200011Z,44.6577,10.0552,23.3,209,1.0
6533,3.0,1993-08-20T03:44:51.520012Z,41.6415,15.297,0.0,0,0.0
6534,3.0,2016-11-30T23:01:53.780044Z,42.7702,13.0638,10.5,283,1.0
6535,3.0,1991-10-10T10:33:19.939964Z,37.7607,15.0095,9.6,0,0.0
6536,3.0,1993-08-06T08:12:32.810002Z,42.73,13.0373,0.0,0,0.0
6537,3.0,2016-12-30T05:09:21.979957Z,42.8987,13.1718,7.8,283,1.0
6538,3.0,1993-08-09T16:36:08.090007Z,46.0773,11.4048,4.9,0,0.0
6539,3.0,2016-12-31T12:55:09.619998Z,42.9238,13.1738,16.3,283,1.0
