,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
60,1584,5.29,33.837,-119.726,9.9,2018-04-05T19:29:16.500015Z,0,2,0,2,2.59,-999.0,1.09868373516,-999.0,-999.0,-999.0,0,0,0,0,0,0
61,1590,4.88,34.058,-117.011,10.6,2005-06-16T20:53:26.019970Z,0,6,0,6,0.92,-999.0,0.542603558819,-999.0,-999.0,-999.0,1,1,4,0,4,0
62,1594,5.75,35.761,-117.638,4.7,1995-09-20T23:27:36.269998Z,57,107,63,161,0.85,0.829368366297,1.91392929056,0.39,0.834618525573,2.07171232557,0,2,10,7,15,7
63,1597,5.23,36.067,-117.638,0.3,1998-03-06T05:47:40.339970Z,0,71,2,71,0.19,0.802156821413,1.83734800145,-999.0,-999.0,-999.0,4,4,17,0,17,0
64,1600,5.08,33.153,-115.646,1.2,2005-09-02T01:27:19.590017Z,49,31,49,31,1.25,0.888069191227,1.65630580926,0.45,0.612386463691,1.52256404968,1,1,14,25,14,25
65,1614,5.42,33.417,-116.475,12.3,2010-07-07T23:53:33.480008Z,9,14,13,14,2.02,-999.0,1.28655077615,0.97,-999.0,0.309452413797,1,1,0,2,0,2
66,1617,5.7,32.319,-115.322,7.0,2002-02-22T19:32:41.749958Z,3,141,12,141,1.57,1.23408951931,2.91189091917,2.43,-999.0,0.100999970234,1,1,3,0,3,0
67,1618,5.4,36.698,-116.289,9.1,1992-06-29T10:14:23.180006Z,0,19,0,23,0.96,-999.0,0.380850447862,-999.0,-999.0,-999.0,1,1,4,0,5,0
68,1619,5.17,36.016,-117.874,1.9,2001-07-17T12:07:26.099964Z,23,114,42,114,0.24,1.03381856206,3.0821766961,1.26,-999.0,0.395464190517,2,2,21,7,21,11
69,1625,6.0,33.999,-116.608,9.5,1986-07-08T09:20:44.560037Z,3,263,6,272,1.54,1.06538054977,4.52592878755,2.52,-999.0,0.161698852053,1,1,8,0,9,0
70,1629,4.89,32.004,-115.01,7.0,2001-12-09T01:42:26.450035Z,3,11,3,11,1.7,-999.0,1.76910789165,1.49,-999.0,45.5814005881,1,1,4,2,4,2
71,1634,4.77,34.803,-116.266,3.7,2002-10-29T14:16:54.079969Z,4,8,4,8,1.69,-999.0,0.724450503167,0.93,-999.0,0.248483640449,1,1,4,3,4,3
72,1635,5.51,34.144,-117.697,3.3,1990-02-28T23:43:36.750032Z,1,74,1,74,0.79,0.841964675422,1.47553509569,1.83,-999.0,inf,1,1,10,1,10,1
73,1638,4.7,33.232,-115.66,6.0,1999-10-16T09:47:43.759965Z,1,41,3,41,0.23,0.862279600873,12.5870391224,1.9,-999.0,inf,2,2,31,1,31,2
74,1640,4.62,32.676,-116.048,13.4,2006-11-03T15:56:43.050019Z,5,18,7,18,0.51,-999.0,0.537345598568,0.57,-999.0,0.446332190853,1,1,18,3,18,5
75,1645,4.92,32.379,-115.243,6.0,1999-06-01T15:18:02.670018Z,1,1,3,40,2.3,-999.0,inf,2.1,-999.0,inf,0,0,0,0,14,1
76,1648,6.7,34.213,-118.537,18.2,1994-01-17T12:30:55.389976Z,5,784,10,839,0.81,0.760320829378,13.236807985,2.99,-999.0,0.124775251105,1,1,12,0,13,0
77,1658,5.38,32.388,-115.305,6.0,1987-02-07T03:45:14.850000Z,2,43,7,43,1.18,0.858605182613,4.21654912436,2.06,-999.0,9.4079420684,1,1,7,0,7,1
78,1665,6.6,33.015,-115.852,11.2,1987-11-24T13:15:56.709996Z,96,375,110,381,1.89,0.950399338899,6.31927748081,0.4,0.718089394811,43.4570028973,2,2,1,3,2,3
79,1667,7.3,34.2,-116.437,-0.1,1992-06-28T11:57:34.130021Z,179,2797,569,3420,1.0,0.930265179344,46.8845219012,2.32,0.935934412,2.98694639761,1,1,9,0,9,1
80,1668,5.45,32.971,-117.874,5.8,1986-07-13T13:47:08.210023Z,0,416,1,886,1.08,1.46668699847,6.95339145335,-999.0,-999.0,-999.0,1,1,30,0,40,0
81,1669,7.1,35.77,-117.599,8.0,2019-07-06T03:19:53.039968Z,243,1703,244,1795,1.6,0.782624363969,28.6749327847,0.7,0.655284440251,170.391878877,1,1,2,2,2,2
82,1673,7.2,32.286,-115.295,10.0,2010-04-04T22:40:42.359984Z,31,2264,390,3051,1.5,0.846506510403,37.8522729296,2.86,0.658988200636,0.552779203107,1,1,5,0,6,1
83,1674,7.1,34.603,-116.265,13.7,1999-10-16T09:46:44.460015Z,5,1066,7,1139,1.33,0.855286293316,17.8034951747,3.4,-999.0,8.14075516759,1,1,2,0,2,0
