,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr
653,-999.000,-999.000,3,21.0,0.6,-999.0,0.6,-999.0, 9.506,-84.854,5.2,24,0,24,0,2014-01-17T21:02:39.999997,-999.000,-999.000,1,1, 0, 2,0,2
654,-999.000,-999.000,725,8.0,-999.0,-999.0,-999.0,-999.0, 9.333,-84.416,2.6,2,0,2,0,2019-12-01T06:23:30.000000,-999.000,-999.000,-1,-1, 0, 2,0,2
655,-999.000,-999.000,368,26.0,1.8,-999.0,1.8,-999.0, 9.341,-84.627,4.8,2,0,4,0,2017-06-17T15:00:35.999997,-999.000,-999.000,1,-1, 0, 3,0,2
656,-999.000,-999.000,369,20.0,0.5,-999.0,0.5,-999.0, 9.518,-84.837,3.1,1,0,1,0,2017-06-22T21:07:22.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
657,-999.000,-999.000,366,4.0,0.4,-999.0,0.4,-999.0, 9.528,-83.581,2.9,1,0,1,0,2017-06-09T15:58:27.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
658,-999.000,-999.000,367,30.0,0.2,-999.0,0.2,-999.0, 8.640,-83.366,2.9,2,0,2,0,2017-06-14T21:14:18.999999,-999.000,-999.000,-1,-1, 0, 2,0,2
659,-999.000,-999.000,364,3.0,0.7,-999.0,0.7,-999.0,10.182,-84.232,3.1,1,0,1,0,2017-06-05T08:53:34.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
660,-999.000,-999.000,365,12.0,-999.0,0.5,-999.0,0.5, 8.661,-83.737,3.0,0,1,0,1,2017-06-09T08:44:57.000003,-999.000,-999.000,-1,-1, 1, 0,1,0
661,-999.000,-999.000,362,16.0,0.2,-999.0,0.2,-999.0, 8.574,-83.195,4.0,4,0,4,0,2017-06-01T09:21:37.999998,-999.000,-999.000,2,2, 0, 4,0,4
662,-999.000,-999.000,363,14.0,-999.0,0.6,-999.0,0.6, 8.387,-82.994,3.3,0,1,0,1,2017-06-04T10:00:43.999998,-999.000,-999.000,-1,-1, 1, 0,1,0
663,-999.000,-999.000,360,17.0,0.3,-999.0,0.3,-999.0, 9.112,-84.127,2.9,1,0,1,0,2017-05-21T01:03:01.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
664,-999.000,-999.000,361,17.0,-999.0,0.5,-999.0,0.5, 9.477,-84.496,3.1,0,1,0,1,2017-05-30T07:20:08.999997,-999.000,-999.000,-1,-1, 1, 0,1,0
665,-999.000,-999.000,218,11.0,0.3,-999.0,0.3,-999.0, 9.578,-85.229,3.0,2,0,2,0,2015-10-03T01:09:48.000003,-999.000,-999.000,-1,-1, 0, 2,0,2
666,-999.000,-999.000,380,17.0,1.3,1.0,1.3,1.0, 8.993,-83.965,5.3,7,2,9,2,2017-08-27T10:38:55.000002,-999.000,-999.000,1,1, 2, 3,2,3
667,-999.000,-999.000,861,25.0,1.6,-999.0,1.6,-999.0, 8.361,-82.892,4.2,2,0,2,0,2020-08-30T23:43:18.000002,-999.000,-999.000,-1,-1, 0, 2,0,2
668,-999.000,-999.000,382,21.0,2.3,2.7,2.3,2.7, 9.909,-85.658,5.9,6,1,6,1,2017-09-01T07:42:39.000001,-999.000,-999.000,1,1, 0, 0,0,0
669,-999.000,-999.000,383,17.0,1.6,-999.0,1.6,-999.0, 9.521,-84.872,5.0,3,0,3,0,2017-09-02T10:38:14.000000,-999.000,-999.000,1,1, 0, 1,0,1
670,-999.000,-999.000,384,13.0,-999.0,0.5,-999.0,0.5, 9.372,-84.368,3.1,0,1,0,1,2017-09-04T19:51:15.000002,-999.000,-999.000,-1,-1, 1, 0,1,0
671,-999.000,-999.000,385,51.0,2.1,-999.0,2.1,-999.0, 8.093,-82.993,5.2,2,0,2,0,2017-09-05T11:28:26.999997,-999.000,-999.000,-1,-1, 0, 0,0,0
672,-999.000,-999.000,386,25.0,-999.0,0.1,-999.0,0.1, 8.837,-82.888,2.6,0,1,0,1,2017-09-09T10:40:35.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
673,-999.000,-999.000,387,6.0,0.1,-999.0,0.1,-999.0, 9.783,-83.975,2.8,1,0,1,0,2017-09-12T02:14:21.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
674,-999.000,-999.000,388,21.0,1.6,-999.0,1.6,-999.0, 9.179,-84.123,4.6,1,0,1,0,2017-08-18T17:15:11.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
675,-999.000,-999.000,389,22.0,0.3,-999.0,0.3,-999.0, 8.271,-82.843,3.3,1,0,1,0,2017-09-14T17:33:48.000000,-999.000,-999.000,-1,-1, 0, 1,0,1
676,-999.000,-999.000,784,3.0,0.3,-999.0,0.3,-999.0, 8.771,-84.204,2.8,1,0,1,0,2020-03-02T11:20:43.999997,-999.000,-999.000,-1,-1, 0, 1,0,1
677,-999.000,-999.000,785,29.0,0.6,-999.0,0.6,-999.0, 8.332,-83.108,3.9,1,0,1,0,2020-03-03T00:19:50.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
678,-999.000,-999.000,786,41.0,2.2,-999.0,2.2,-999.0, 9.017,-83.212,5.9,7,0,7,0,2020-03-07T02:40:43.000003,-999.000,-999.000,1,1, 0, 0,0,0
