,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
52,-999.0,-999,0,0,53,30.0,-999.0,-999.0,0.0,-5.23,153.1,7.8,0,0,0,0,0,0,0,0,2000-11-16T07:42:14.400000Z,-999.0,-999.0
53,-999.0,-999,0,0,54,33.0,-999.0,-999.0,0.0,-5.5,151.78,7.8,0,0,0,0,0,0,0,0,2000-11-17T21:01:52.320000Z,-999.0,-999.0
54,-999.0,-999,1,1,55,15.0,1.0,-999.0,3.0,26.97,65.52,7.8,4,4,3,3,0,0,0,0,2013-09-24T11:29:45.600004Z,0.16784155756928038,-999.0
55,-999.0,-999,1,1,56,61.0,1.7000000000000002,-999.0,3.0,12.96,144.78,7.7,6,6,6,6,0,0,0,0,1993-08-08T08:34:22.079997Z,0.23190646439323756,-999.0
56,-999.0,-999,1,1,57,33.0,1.6000000000000005,2.2,0.0,-14.99,-75.68,7.7,8,8,8,8,1,1,1,1,1996-11-12T16:59:39.840004Z,0.44692987111758903,inf
57,-999.0,-999,2,2,58,17.0,0.2999999999999998,-999.0,0.0,-0.41,132.88,7.7,13,13,13,13,0,0,0,0,2009-01-03T19:43:49.439999Z,0.26734448776759584,-999.0
58,-999.0,-999,0,0,59,17.0,1.4000000000000004,-999.0,2.0,42.84,139.25,7.7,2,2,2,2,0,0,0,0,1993-07-12T13:17:11.039999Z,0.08694329123832151,-999.0
59,-999.0,-999,1,1,60,33.0,1.7999999999999998,2.2,0.0,-12.58,166.68,7.7,9,9,9,9,3,3,3,3,1997-04-21T12:02:26.880002Z,0.2825736810880244,0.3283676842415143
60,-999.0,-999,1,1,61,33.0,0.7000000000000002,2.5,3.0,40.45,143.49,7.7,16,16,16,16,1,1,1,1,1994-12-28T12:19:26.400000Z,0.2839008689138379,inf
61,-999.0,-999,1,1,62,35.0,1.9000000000000004,1.6000000000000005,1.0,-8.51,121.89,7.7,4,4,4,4,1,1,1,1,1992-12-12T05:29:28.320003Z,0.10452734043259634,inf
62,-999.0,-999,1,1,63,60.0,1.2000000000000002,-999.0,0.0,13.05,-88.66,7.7,12,12,12,12,0,0,0,0,2001-01-13T17:33:30.240005Z,0.36244687887971394,-999.0
63,-999.0,-999,1,1,64,34.0,1.6000000000000005,-999.0,0.0,-9.25,107.41,7.7,11,11,11,11,0,0,0,0,2006-07-17T08:19:32.160000Z,1.3508037282189387,-999.0
64,-999.0,-999,1,1,65,16.0,1.1000000000000005,1.9000000000000004,2.0,-5.81,154.21,7.7,16,16,16,16,2,2,2,2,1995-08-16T10:27:24.480003Z,0.2703570402663825,6.428801027576603
65,-999.0,-999,1,1,66,40.0,0.9000000000000004,-999.0,1.0,-22.25,-69.89,7.7,17,17,17,17,0,0,0,0,2007-11-14T15:40:53.759996Z,0.5506750628428855,-999.0
66,-999.0,-999,0,0,67,10.0,-999.0,-999.0,3.0,-20.57,-70.5,7.7,0,0,0,0,0,0,0,0,2014-04-03T02:43:09.119997Z,-999.0,-999.0
67,-999.0,-999,1,1,68,33.0,1.2999999999999998,1.6000000000000005,1.0,-23.01,169.89,7.7,12,12,12,12,2,2,2,2,1995-05-16T20:12:46.079996Z,0.20303469186097375,0.09396994841068994
68,-999.0,-999,1,1,69,33.0,1.7999999999999998,2.1000000000000005,3.0,-2.07,124.89,7.7,3,3,3,3,3,3,3,3,1998-11-29T14:10:27.840000Z,0.05428960245536593,1.0667045939208422
69,-999.0,-999,1,1,70,28.0,2.0,2.3,0.0,10.81,126.64,7.6,18,18,18,18,1,1,1,1,2012-08-31T12:47:31.199995Z,0.31507861211406346,inf
70,-999.0,-999,1,1,71,35.0,1.1999999999999993,-999.0,0.0,10.1,-85.31,7.6,4,4,4,4,0,0,0,0,2012-09-05T14:42:08.639999Z,0.08394244066855801,-999.0
