,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
489,-999.000,-999.000,115,6.0,1.0,-999.0,1.0,-999.0,40.421,-125.491,4.7,1,0,1,0,1990-09-26T04:14:08.000002,-999.000,-999.000,0,0
490,-999.000,-999.000,252,23.0,0.4,1.4,0.4,1.4,40.274,-124.379,5.6,3,1,6,1,1997-01-22T07:17:15.000003,-999.000,-999.000,0,2
491,-999.000,-999.000,117,5.0,0.1,-999.0,0.1,-999.0,37.034,-118.321,3.6,4,0,4,0,1990-10-19T12:28:16.000003,-999.000,-999.000,4,4
492,-999.000,-999.000,116,0.0,-999.0,-999.0,-999.0,-999.0,37.498,-118.896,3.4,1,0,1,0,1990-10-07T10:08:48.000001,-999.000,-999.000,0,0
493,-999.000,-999.000,111,7.0,1.2,0.9,1.2,0.9,36.665,-121.291,4.4,2,2,2,2,1990-09-11T07:13:30.000001,-999.000,-999.000,1,1
494,-999.000,-999.000,110,14.0,-999.0,0.1,-999.0,0.1,40.135,-121.356,3.4,0,1,0,1,1990-08-19T19:03:08.000002,-999.000,-999.000,0,0
495,-999.000,-999.000,113,6.0,0.4,-999.0,0.4,-999.0,36.812,-121.534,3.6,1,0,1,0,1990-09-23T02:59:50.999998,-999.000,-999.000,0,0
496,-999.000,-999.000,69,17.0,0.3,-999.0,0.3,0.2,40.394,-124.422,3.9,1,0,1,1,1988-07-11T20:40:03.999999,-999.000,-999.000,0,0
497,-999.000,-999.000,119,8.0,1.2,-999.0,1.2,-999.0,40.885,-125.000,4.4,1,0,1,0,1990-11-03T13:47:19.999997,-999.000,-999.000,0,0
498,-999.000,-999.000,118,10.0,1.5,-999.0,1.5,-999.0,38.062,-119.119,5.8,5,0,6,0,1990-10-24T06:15:17.999997,-999.000,-999.000,1,1
499,-999.000,-999.000,429,2.0,0.2,-999.0,0.2,-999.0,39.309,-119.964,3.7,1,0,1,0,2008-01-28T22:18:34.000002,-999.000,-999.000,0,0
500,-999.000,-999.000,428,2.0,1.3,0.2,1.3,0.2,40.178,-122.704,4.7,1,3,1,3,2008-01-19T23:13:04.000000,-999.000,-999.000,2,2
501,-999.000,-999.000,534,15.0,0.5,-999.0,0.5,-999.0,37.202,-118.403,4.8,2,0,2,0,2016-02-16T23:04:25.000002,-999.000,-999.000,0,0
502,-999.000,-999.000,421,7.0,-999.0,-999.0,-999.0,-999.0,37.415,-118.528,3.4,2,0,2,0,2007-05-25T20:04:29.000000,-999.000,-999.000,0,0
503,-999.000,-999.000,420,0.0,0.7,-999.0,0.7,-999.0,40.374,-125.016,5.2,2,0,2,0,2007-05-09T07:50:02.000002,-999.000,-999.000,0,0
504,-999.000,-999.000,423,8.0,1.1,1.0,1.1,1.0,37.538,-118.864,4.6,2,1,2,1,2007-06-12T07:23:42.000003,-999.000,-999.000,1,1
